SIMPLE_RANGE,EXACT_RANGE,EXACT_RANGE,EXPECTATION,EXPECTATION
200,4900,9100,35800,0
200,4600,9400,35800,0
200,4600,9100,36100,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4600,9400,35800,0
200,4600,9100,36100,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4600,9400,35800,0
200,4600,9100,36100,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4600,9400,35800,0
200,4600,9100,36100,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4600,9400,35800,0
200,4600,9100,36100,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4600,9400,35800,0
200,4600,9100,36100,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4600,9400,35800,0
200,4600,9100,36100,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4600,9400,35800,0
200,4600,9100,36100,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4600,9400,35800,0
200,4600,9100,36100,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4600,9400,35800,0
200,4600,9100,36100,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4900,9100,35800,0
200,4600,9400,35800,0
200,4600,9100,36100,0
200,4000,9100,36700,0
200,4000,9100,36700,0
200,4000,9100,36700,0
200,3700,9400,36700,0
200,3700,9100,37000,0
200,3100,9100,37600,0
200,3100,9100,37600,0
200,3100,9100,37600,0
200,2800,9400,37600,0
200,2800,9100,37900,0
200,3100,9100,37600,0
200,3100,9100,37600,0
200,3100,9100,37600,0
200,2800,9400,37600,0
200,2800,9100,37900,0
200,3100,9100,37600,0
200,3100,9100,37600,0
200,3100,9100,37600,0
200,2800,9400,37600,0
200,2800,9100,37900,0
200,2200,9100,38500,0
200,2200,9100,38500,0
200,2200,9100,38500,0
200,1900,9400,38500,0
200,1900,9100,38800,0
200,2200,9100,38500,0
200,2200,9100,38500,0
200,2200,9100,38500,0
200,1900,9400,38500,0
200,1900,9100,38800,0
200,1300,9100,39400,0
200,1300,9100,39400,0
200,1300,9100,39400,0
200,1000,9400,39400,0
200,1000,9100,39700,0
200,1300,9100,39400,0
200,1300,9100,39400,0
200,1300,9100,39400,0
200,1000,9400,39400,0
200,1000,9100,39700,0
200,1300,9100,39400,0
200,1300,9100,39400,0
200,1300,9100,39400,0
200,1000,9400,39400,0
200,1000,9100,39700,0
200,400,9100,40300,0
200,400,9100,40300,0
200,400,9100,40300,0
200,100,9400,40300,0
200,100,9100,40600,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8200,41500,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8200,41500,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8200,41500,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8200,41500,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8200,41500,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8200,41500,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8200,41500,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8200,41500,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8200,41500,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8200,41500,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8200,41500,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8500,41200,0
200,100,8200,41500,0
200,100,7600,42100,0
200,100,7600,42100,0
200,100,7600,42100,0
200,100,7600,42100,0
200,100,7300,42400,0
200,100,7600,42100,0
200,100,7600,42100,0
200,100,7600,42100,0
200,100,7600,42100,0
200,100,7300,42400,0
200,100,7600,42100,0
200,100,7600,42100,0
200,100,7600,42100,0
200,100,7600,42100,0
200,100,7300,42400,0
200,100,6700,43000,0
200,100,6700,43000,0
200,100,6700,43000,0
200,100,6700,43000,0
200,100,6400,43300,0
200,100,6700,43000,0
200,100,6700,43000,0
200,100,6700,43000,0
200,100,6700,43000,0
200,100,6400,43300,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5500,44200,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5500,44200,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5500,44200,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5500,44200,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5800,43900,0
200,100,5500,44200,0
200,100,4900,44800,0
200,100,4900,44800,0
200,100,4900,44800,0
200,100,4900,44800,0
200,100,4600,45100,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,3700,46000,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,3700,46000,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,3700,46000,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,3700,46000,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,4000,45700,0
200,100,3700,46000,0
200,100,3100,46600,0
200,100,3100,46600,0
200,100,3100,46600,0
200,100,3100,46600,0
200,100,2800,46900,0
200,100,3100,46600,0
200,100,3100,46600,0
200,100,3100,46600,0
200,100,3100,46600,0
200,100,2800,46900,0
200,100,2200,47500,0
200,100,2200,47500,0
200,100,2200,47500,0
200,100,2200,47500,0
200,100,1900,47800,0
200,100,2200,47500,0
200,100,2200,47500,0
200,100,2200,47500,0
200,100,2200,47500,0
200,100,1900,47800,0
200,100,2200,47500,0
200,100,2200,47500,0
200,100,2200,47500,0
200,100,2200,47500,0
200,100,1900,47800,0
200,100,2500,47200,0
200,100,2500,47200,0
200,100,2500,47200,0
200,100,2500,47200,0
200,100,2200,47500,0
200,100,2500,47200,0
200,100,2500,47200,0
200,100,2500,47200,0
200,100,2500,47200,0
200,100,2200,47500,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1300,48400,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1300,48400,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1300,48400,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1300,48400,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1300,48400,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1300,48400,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1300,48400,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1600,48100,0
200,100,1300,48400,0
200,100,700,49000,0
200,100,700,49000,0
200,100,700,49000,0
200,100,700,49000,0
200,100,400,49300,0
200,100,400,49300,0
200,100,400,49300,0
200,100,400,49300,0
200,100,400,49300,0
200,100,100,49600,0
