EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6_FLOP,
0,289800,0,250200,0,0,
0,289800,0,250200,0,0,
0,282900,0,257100,0,0,
0,282900,0,257100,0,0,
0,282300,0,257700,0,0,
0,282300,0,257700,0,0,
0,282300,0,257700,0,0,
0,287700,0,252300,0,0,
0,299100,0,240900,0,0,
0,320700,0,219300,0,0,
0,312900,0,227100,0,0,
0,312900,0,227100,0,0,
0,312900,0,227100,0,0,
0,312900,0,227100,0,0,
0,318900,0,221100,0,0,
0,318900,0,221100,0,0,
0,318300,0,221700,0,0,
0,318300,0,221700,0,0,
0,318300,0,221700,0,0,
0,318300,0,221700,0,0,
0,324300,0,215700,0,0,
0,324300,0,215700,0,0,
0,317400,0,222600,0,0,
0,317400,0,222600,0,0,
0,317400,0,222600,0,0,
0,317400,0,222600,0,0,
0,318000,0,222000,0,0,
0,318000,0,222000,0,0,
0,317400,0,222600,0,0,
0,317400,0,222600,0,0,
0,317400,0,222600,0,0,
0,317400,0,222600,0,0,
0,318000,0,222000,0,0,
0,312600,0,227400,0,0,
0,313200,0,226800,0,0,
0,313200,0,226800,0,0,
0,313200,0,226800,0,0,
0,313200,0,226800,0,0,
0,322800,0,217200,0,0,
0,328200,0,211800,0,0,
0,334200,0,205800,0,0,
0,339600,0,200400,0,0,
0,337800,0,202200,0,0,
0,337800,0,202200,0,0,
0,337200,0,202800,0,0,
0,337200,0,202800,0,0,
0,336600,0,203400,0,0,
0,329400,0,210600,0,0,
0,336600,0,203400,0,0,
0,336600,0,203400,0,0,
0,337200,0,202800,0,0,
0,337200,0,202800,0,0,
0,329400,0,210600,0,0,
0,329400,0,210600,0,0,
0,329400,0,210600,0,0,
0,329400,0,210600,0,0,
0,324300,0,215700,0,0,
0,317100,0,222900,0,0,
0,317700,0,222300,0,0,
0,314100,0,225900,0,0,
0,301500,0,238500,0,0,
0,301500,0,238500,0,0,
0,301500,0,238500,0,0,
0,301500,0,238500,0,0,
0,300900,0,239100,0,0,
0,293700,0,246300,0,0,
0,297300,0,242700,0,0,
0,297300,0,242700,0,0,
0,296700,0,243300,0,0,
0,291300,0,248700,0,0,
0,290700,0,249300,0,0,
0,290700,0,249300,0,0,
0,294300,0,245700,0,0,
0,294300,0,245700,0,0,
0,293700,0,246300,0,0,
0,293700,0,246300,0,0,
0,309600,0,230400,0,0,
0,320400,0,219600,0,0,
0,320400,0,219600,0,0,
0,322200,0,217800,0,0,
0,324300,0,215700,0,0,
0,324300,0,215700,0,0,
0,330300,0,209700,0,0,
0,330300,0,209700,0,0,
0,330300,0,209700,0,0,
0,330300,0,209700,0,0,
0,330300,0,209700,0,0,
0,330300,0,209700,0,0,
0,330900,0,209100,0,0,
0,330900,0,209100,0,0,
0,330900,0,209100,0,0,
0,330900,0,209100,0,0,
0,331500,0,208500,0,0,
0,331500,0,208500,0,0,
0,332100,0,207900,0,0,
0,330300,0,209700,0,0,
0,330300,0,209700,0,0,
0,330300,0,209700,0,0,
0,321600,0,218400,0,0,
0,318900,0,221100,0,0,
0,312000,0,228000,0,0,
0,312000,0,228000,0,0,
0,312000,0,228000,0,0,
0,312000,0,228000,0,0,
0,306000,0,234000,0,0,
0,304200,0,235800,0,0,
0,304800,0,235200,0,0,
0,304800,0,235200,0,0,
0,304800,0,235200,0,0,
0,304800,0,235200,0,0,
0,310800,0,229200,0,0,
0,310800,0,229200,0,0,
0,311400,0,228600,0,0,
0,311400,0,228600,0,0,
0,311400,0,228600,0,0,
0,311400,0,228600,0,0,
0,305400,0,234600,0,0,
0,305400,0,234600,0,0,
0,309600,0,230400,0,0,
0,307800,0,232200,0,0,
0,311400,0,228600,0,0,
0,311400,0,228600,0,0,
0,312000,0,228000,0,0,
0,312000,0,228000,0,0,
0,318000,0,222000,0,0,
0,330600,0,209400,0,0,
0,330600,0,209400,0,0,
0,330600,0,209400,0,0,
0,330000,0,210000,0,0,
0,330000,0,210000,0,0,
0,330600,0,209400,0,0,
0,328800,0,211200,0,0,
0,328800,0,211200,0,0,
0,332400,0,207600,0,0,
0,338400,0,201600,0,0,
0,334800,0,205200,0,0,
0,334800,0,205200,0,0,
0,334800,0,205200,0,0,
0,334800,0,205200,0,0,
0,334800,0,205200,0,0,
0,334200,0,205800,0,0,
0,334200,0,205800,0,0,
0,343500,0,196500,0,0,
0,352500,0,187500,0,0,
0,352500,0,187500,0,0,
0,352500,0,187500,0,0,
0,353100,0,186900,0,0,
0,353100,0,186900,0,0,
0,352500,0,187500,0,0,
0,352500,0,187500,0,0,
0,352500,0,187500,0,0,
0,352500,0,187500,0,0,
0,351900,0,188100,0,0,
0,351900,0,188100,0,0,
0,347700,0,192300,0,0,
0,353100,0,186900,0,0,
0,351300,0,188700,0,0,
0,351300,0,188700,0,0,
0,353400,0,186600,0,0,
0,346200,0,193800,0,0,
0,345600,0,194400,0,0,
0,356400,0,183600,0,0,
0,356400,0,183600,0,0,
0,356400,0,183600,0,0,
0,354000,0,186000,0,0,
0,354000,0,186000,0,0,
0,350700,0,189300,0,0,
0,350700,0,189300,0,0,
0,348900,0,191100,0,0,
0,348900,0,191100,0,0,
0,342900,0,197100,0,0,
0,342900,0,197100,0,0,
0,343500,0,196500,0,0,
0,343500,0,196500,0,0,
0,343500,0,196500,0,0,
0,354300,0,185700,0,0,
0,353700,0,186300,0,0,
0,353700,0,186300,0,0,
0,353700,0,186300,0,0,
0,353700,0,186300,0,0,
0,360900,0,179100,0,0,
0,364500,0,175500,0,0,
0,377400,0,162600,0,0,
0,374700,0,165300,0,0,
0,387600,0,152400,0,0,
0,387600,0,152400,0,0,
0,387600,0,152400,0,0,
0,387600,0,152400,0,0,
0,383400,0,156600,0,0,
0,383400,0,156600,0,0,
0,375900,0,164100,0,0,
0,375900,0,164100,0,0,
0,375900,0,164100,0,0,
0,375900,0,164100,0,0,
0,373500,0,166500,0,0,
0,373500,0,166500,0,0,
0,372900,0,167100,0,0,
0,372900,0,167100,0,0,
0,372900,0,167100,0,0,
0,372900,0,167100,0,0,
0,380700,0,159300,0,0,
0,380700,0,159300,0,0,
0,386700,0,153300,0,0,
0,386700,0,153300,0,0,
0,386700,0,153300,0,0,
0,386700,0,153300,0,0,
0,386100,0,153900,0,0,
0,386100,0,153900,0,0,
0,381000,0,159000,0,0,
0,388200,0,151800,0,0,
0,388200,0,151800,0,0,
0,388200,0,151800,0,0,
0,388800,0,151200,0,0,
0,381600,0,158400,0,0,
0,381600,0,158400,0,0,
0,381600,0,158400,0,0,
0,381600,0,158400,0,0,
0,385200,0,154800,0,0,
0,385800,0,154200,0,0,
0,385800,0,154200,0,0,
0,386400,0,153600,0,0,
0,386400,0,153600,0,0,
0,386400,0,153600,0,0,
0,386400,0,153600,0,0,
0,385800,0,154200,0,0,
0,385800,0,154200,0,0,
0,386400,0,153600,0,0,
0,386400,0,153600,0,0,
0,386400,0,153600,0,0,
0,386400,0,153600,0,0,
0,396000,0,144000,0,0,
0,396000,0,144000,0,0,
0,395400,0,144600,0,0,
0,395400,0,144600,0,0,
0,395400,0,144600,0,0,
0,402600,0,137400,0,0,
0,402000,0,138000,0,0,
0,394800,0,145200,0,0,
0,386100,0,153900,0,0,
0,391500,0,148500,0,0,
0,391500,0,148500,0,0,
0,391500,0,148500,0,0,
0,395700,0,144300,0,0,
0,393000,0,147000,0,0,
0,395400,0,144600,0,0,
0,406200,0,133800,0,0,
0,402600,0,137400,0,0,
0,402600,0,137400,0,0,
0,402000,0,138000,0,0,
0,402000,0,138000,0,0,
0,402600,0,137400,0,0,
0,402600,0,137400,0,0,
0,402600,0,137400,0,0,
0,402600,0,137400,0,0,
0,403200,0,136800,0,0,
0,405000,0,135000,0,0,
0,405600,0,134400,0,0,
0,405600,0,134400,0,0,
0,405600,0,134400,0,0,
0,403800,0,136200,0,0,
0,404400,0,135600,0,0,
0,411600,0,128400,0,0,
0,411600,0,128400,0,0,
0,406200,0,133800,0,0,
0,408000,0,132000,0,0,
0,400800,0,139200,0,0,
0,398400,0,141600,0,0,
0,398400,0,141600,0,0,
0,397800,0,142200,0,0,
0,399600,0,140400,0,0,
0,399600,0,140400,0,0,
0,399600,0,140400,0,0,
0,405600,0,134400,0,0,
0,405600,0,134400,0,0,
0,406200,0,133800,0,0,
0,406200,0,133800,0,0,
0,406200,0,133800,0,0,
0,406200,0,133800,0,0,
0,405600,0,134400,0,0,
0,405600,0,134400,0,0,
0,406200,0,133800,0,0,
0,415200,0,124800,0,0,
0,415200,0,124800,0,0,
0,415200,0,124800,0,0,
0,415800,0,124200,0,0,
0,415800,0,124200,0,0,
0,415200,0,124800,0,0,
0,415200,0,124800,0,0,
0,415200,0,124800,0,0,
0,415200,0,124800,0,0,
0,408300,0,131700,0,0,
0,400200,0,139800,0,0,
0,390900,0,149100,0,0,
0,390900,0,149100,0,0,
0,390900,0,149100,0,0,
0,390900,0,149100,0,0,
0,393300,0,146700,0,0,
0,386100,0,153900,0,0,
0,383700,0,156300,0,0,
0,378300,0,161700,0,0,
0,378300,0,161700,0,0,
0,372900,0,167100,0,0,
0,372300,0,167700,0,0,
0,372300,0,167700,0,0,
0,371700,0,168300,0,0,
0,371700,0,168300,0,0,
0,371700,0,168300,0,0,
0,371700,0,168300,0,0,
0,371100,0,168900,0,0,
0,374700,0,165300,0,0,
0,378900,0,161100,0,0,
0,368100,0,171900,0,0,
0,366300,0,173700,0,0,
0,362700,0,177300,0,0,
0,363300,0,176700,0,0,
0,366900,0,173100,0,0,
0,367500,0,172500,0,0,
0,367500,0,172500,0,0,
0,372900,0,167100,0,0,
0,372900,0,167100,0,0,
0,372300,0,167700,0,0,
0,372300,0,167700,0,0,
0,372900,0,167100,0,0,
0,372900,0,167100,0,0,
0,372900,0,167100,0,0,
0,378300,0,161700,0,0,
0,387900,0,152100,0,0,
0,380700,0,159300,0,0,
0,386700,0,153300,0,0,
0,395700,0,144300,0,0,
0,395700,0,144300,0,0,
0,395700,0,144300,0,0,
0,387000,0,153000,0,0,
0,385200,0,154800,0,0,
0,384600,0,155400,0,0,
0,384600,0,155400,0,0,
0,384600,0,155400,0,0,
0,384600,0,155400,0,0,
0,385200,0,154800,0,0,
0,385200,0,154800,0,0,
0,385800,0,154200,0,0,
0,380400,0,159600,0,0,
0,378600,0,161400,0,0,
0,367800,0,172200,0,0,
0,368400,0,171600,0,0,
0,368400,0,171600,0,0,
0,392400,0,147600,0,0,
0,383400,0,156600,0,0,
0,383400,0,156600,0,0,
0,394200,0,145800,0,0,
0,403800,0,136200,0,0,
0,402000,0,138000,0,0,
0,393300,0,146700,0,0,
0,393300,0,146700,0,0,
0,398700,0,141300,0,0,
0,395100,0,144900,0,0,
0,394500,0,145500,0,0,
0,394500,0,145500,0,0,
0,395100,0,144900,0,0,
0,395100,0,144900,0,0,
0,395100,0,144900,0,0,
0,395100,0,144900,0,0,
0,387300,0,152700,0,0,
0,387300,0,152700,0,0,
0,387900,0,152100,0,0,
0,387900,0,152100,0,0,
0,387900,0,152100,0,0,
0,400500,0,139500,0,0,
0,399900,0,140100,0,0,
0,399900,0,140100,0,0,
0,399300,0,140700,0,0,
0,399300,0,140700,0,0,
0,399300,0,140700,0,0,
0,399300,0,140700,0,0,
0,393300,0,146700,0,0,
0,391500,0,148500,0,0,
0,393900,0,146100,0,0,
0,404700,0,135300,0,0,
0,404700,0,135300,0,0,
0,404700,0,135300,0,0,
0,404100,0,135900,0,0,
0,416700,0,123300,0,0,
0,411600,0,128400,0,0,
0,411600,0,128400,0,0,
0,411600,0,128400,0,0,
0,411600,0,128400,0,0,
0,421200,0,118800,0,0,
0,421200,0,118800,0,0,
0,421200,0,118800,0,0,
0,421200,0,118800,0,0,
0,421200,0,118800,0,0,
0,421200,0,118800,0,0,
0,420600,0,119400,0,0,
0,420600,0,119400,0,0,
0,418200,0,121800,0,0,
0,414600,0,125400,0,0,
0,414600,0,125400,0,0,
0,412800,0,127200,0,0,
0,408600,0,131400,0,0,
0,418500,0,121500,0,0,
0,388200,0,151800,0,0,
0,395400,0,144600,0,0,
0,395400,0,144600,0,0,
0,395400,0,144600,0,0,
0,390600,0,149400,0,0,
0,392400,0,147600,0,0,
0,393000,0,147000,0,0,
0,393000,0,147000,0,0,
0,403800,0,136200,0,0,
0,403800,0,136200,0,0,
0,404400,0,135600,0,0,
0,402600,0,137400,0,0,
0,408600,0,131400,0,0,
0,408600,0,131400,0,0,
0,408600,0,131400,0,0,
0,408600,0,131400,0,0,
0,402600,0,137400,0,0,
0,400800,0,139200,0,0,
0,400200,0,139800,0,0,
0,400200,0,139800,0,0,
0,407400,0,132600,0,0,
0,407400,0,132600,0,0,
0,406800,0,133200,0,0,
0,406800,0,133200,0,0,
0,416400,0,123600,0,0,
0,409200,0,130800,0,0,
0,409200,0,130800,0,0,
0,409200,0,130800,0,0,
0,416700,0,123300,0,0,
0,416700,0,123300,0,0,
0,416100,0,123900,0,0,
0,416100,0,123900,0,0,
0,416100,0,123900,0,0,
0,416100,0,123900,0,0,
0,416700,0,123300,0,0,
0,416700,0,123300,0,0,
0,417300,0,122700,0,0,
0,426300,0,113700,0,0,
0,426300,0,113700,0,0,
0,426300,0,113700,0,0,
0,437700,0,102300,0,0,
0,446700,0,93300,0,0,
0,444300,0,95700,0,0,
0,444300,0,95700,0,0,
0,444300,0,95700,0,0,
0,444300,0,95700,0,0,
0,443700,0,96300,0,0,
0,443700,0,96300,0,0,
0,446100,0,93900,0,0,
0,444300,0,95700,0,0,
0,433500,0,106500,0,0,
0,433500,0,106500,0,0,
0,432900,0,107100,0,0,
0,432900,0,107100,0,0,
0,438900,0,101100,0,0,
0,428100,0,111900,0,0,
0,428100,0,111900,0,0,
0,428100,0,111900,0,0,
0,420600,0,119400,0,0,
0,412500,0,127500,0,0,
0,413100,0,126900,0,0,
0,414900,0,125100,0,0,
0,414900,0,125100,0,0,
0,414900,0,125100,0,0,
0,414300,0,125700,0,0,
0,414300,0,125700,0,0,
0,388800,0,151200,0,0,
0,396000,0,144000,0,0,
0,396000,0,144000,0,0,
0,396000,0,144000,0,0,
0,396600,0,143400,0,0,
0,396600,0,143400,0,0,
0,388800,0,151200,0,0,
0,388800,0,151200,0,0,
0,388800,0,151200,0,0,
0,392400,0,147600,0,0,
0,393000,0,147000,0,0,
0,393000,0,147000,0,0,
0,392400,0,147600,0,0,
0,392400,0,147600,0,0,
0,392400,0,147600,0,0,
0,390600,0,149400,0,0,
0,390000,0,150000,0,0,
0,390000,0,150000,0,0,
0,390600,0,149400,0,0,
0,390600,0,149400,0,0,
0,392400,0,147600,0,0,
0,392400,0,147600,0,0,
0,393000,0,147000,0,0,
0,391200,0,148800,0,0,
0,391800,0,148200,0,0,
0,399000,0,141000,0,0,
0,399000,0,141000,0,0,
0,397200,0,142800,0,0,
0,396600,0,143400,0,0,
0,396600,0,143400,0,0,
0,402600,0,137400,0,0,
0,395400,0,144600,0,0,
0,395400,0,144600,0,0,
0,395400,0,144600,0,0,
0,396000,0,144000,0,0,
0,396000,0,144000,0,0,
0,396600,0,143400,0,0,
0,396600,0,143400,0,0,
0,396600,0,143400,0,0,
0,396600,0,143400,0,0,
0,396600,0,143400,0,0,
0,396600,0,143400,0,0,
0,408600,0,131400,0,0,
0,408600,0,131400,0,0,
0,408600,0,131400,0,0,
0,408600,0,131400,0,0,
0,401700,0,138300,0,0,
0,401700,0,138300,0,0,
0,404100,0,135900,0,0,
0,404100,0,135900,0,0,
0,404100,0,135900,0,0,
0,404100,0,135900,0,0,
0,408300,0,131700,0,0,
0,408300,0,131700,0,0,
0,404100,0,135900,0,0,
0,404100,0,135900,0,0,
0,411300,0,128700,0,0,
0,411300,0,128700,0,0,
0,403500,0,136500,0,0,
0,403500,0,136500,0,0,
0,403500,0,136500,0,0,
0,403500,0,136500,0,0,
0,403500,0,136500,0,0,
0,405300,0,134700,0,0,
0,397500,0,142500,0,0,
0,392100,0,147900,0,0,
0,391500,0,148500,0,0,
0,396900,0,143100,0,0,
0,389700,0,150300,0,0,
0,389700,0,150300,0,0,
0,390300,0,149700,0,0,
0,390300,0,149700,0,0,
0,390900,0,149100,0,0,
0,394500,0,145500,0,0,
0,394500,0,145500,0,0,
0,394500,0,145500,0,0,
0,396900,0,143100,0,0,
0,396900,0,143100,0,0,
0,397500,0,142500,0,0,
0,397500,0,142500,0,0,
0,397500,0,142500,0,0,
0,401100,0,138900,0,0,
0,400500,0,139500,0,0,
0,400500,0,139500,0,0,
0,402900,0,137100,0,0,
0,402900,0,137100,0,0,
0,402900,0,137100,0,0,
0,402900,0,137100,0,0,
0,408900,0,131100,0,0,
0,408900,0,131100,0,0,
0,401400,0,138600,0,0,
0,401400,0,138600,0,0,
0,403200,0,136800,0,0,
0,403200,0,136800,0,0,
0,402600,0,137400,0,0,
0,402600,0,137400,0,0,
0,403200,0,136800,0,0,
0,406800,0,133200,0,0,
0,406800,0,133200,0,0,
0,406800,0,133200,0,0,
0,399900,0,140100,0,0,
0,399900,0,140100,0,0,
0,404100,0,135900,0,0,
0,407700,0,132300,0,0,
0,400500,0,139500,0,0,
0,400500,0,139500,0,0,
0,400500,0,139500,0,0,
0,400500,0,139500,0,0,
0,401100,0,138900,0,0,
0,401100,0,138900,0,0,
0,401100,0,138900,0,0,
0,404700,0,135300,0,0,
0,414300,0,125700,0,0,
0,421500,0,118500,0,0,
0,422100,0,117900,0,0,
0,422100,0,117900,0,0,
0,422100,0,117900,0,0,
0,422100,0,117900,0,0,
0,421500,0,118500,0,0,
0,421500,0,118500,0,0,
0,420900,0,119100,0,0,
0,429900,0,110100,0,0,
0,429900,0,110100,0,0,
0,429900,0,110100,0,0,
0,429300,0,110700,0,0,
0,429300,0,110700,0,0,
0,429900,0,110100,0,0,
0,429900,0,110100,0,0,
0,429900,0,110100,0,0,
0,429900,0,110100,0,0,
0,434100,0,105900,0,0,
0,430500,0,109500,0,0,
0,438300,0,101700,0,0,
0,438300,0,101700,0,0,
0,449100,0,90900,0,0,
0,449100,0,90900,0,0,
0,448500,0,91500,0,0,
0,448500,0,91500,0,0,
0,444300,0,95700,0,0,
0,444300,0,95700,0,0,
0,444300,0,95700,0,0,
0,442500,0,97500,0,0,
0,450000,0,90000,0,0,
0,450000,0,90000,0,0,
0,444000,0,96000,0,0,
0,447600,0,92400,0,0,
0,447600,0,92400,0,0,
0,440400,0,99600,0,0,
0,453600,0,86400,0,0,
0,453600,0,86400,0,0,
0,446100,0,93900,0,0,
0,446100,0,93900,0,0,
0,446100,0,93900,0,0,
0,446100,0,93900,0,0,
0,445500,0,94500,0,0,
0,445500,0,94500,0,0,
0,446100,0,93900,0,0,
0,442500,0,97500,0,0,
0,442500,0,97500,0,0,
0,444300,0,95700,0,0,
0,432900,0,107100,0,0,
0,432900,0,107100,0,0,
0,425400,0,114600,0,0,
0,425400,0,114600,0,0,
0,425400,0,114600,0,0,
0,425400,0,114600,0,0,
0,424800,0,115200,0,0,
0,424800,0,115200,0,0,
0,424200,0,115800,0,0,
0,431400,0,108600,0,0,
0,427800,0,112200,0,0,
0,429600,0,110400,0,0,
0,430200,0,109800,0,0,
0,430200,0,109800,0,0,
0,436200,0,103800,0,0,
0,434400,0,105600,0,0,
0,430800,0,109200,0,0,
0,430800,0,109200,0,0,
0,431400,0,108600,0,0,
0,427800,0,112200,0,0,
0,435600,0,104400,0,0,
0,435600,0,104400,0,0,
0,435600,0,104400,0,0,
0,435600,0,104400,0,0,
0,438000,0,102000,0,0,
0,436200,0,103800,0,0,
0,435600,0,104400,0,0,
0,435600,0,104400,0,0,
0,442800,0,97200,0,0,
0,442800,0,97200,0,0,
0,442200,0,97800,0,0,
0,442200,0,97800,0,0,
0,441600,0,98400,0,0,
0,441600,0,98400,0,0,
0,445200,0,94800,0,0,
0,445200,0,94800,0,0,
0,445800,0,94200,0,0,
0,445800,0,94200,0,0,
0,453600,0,86400,0,0,
0,453600,0,86400,0,0,
0,453600,0,86400,0,0,
0,464400,0,75600,0,0,
0,465000,0,75000,0,0,
0,466800,0,73200,0,0,
0,467400,0,72600,0,0,
0,469200,0,70800,0,0,
0,467400,0,72600,0,0,
0,467400,0,72600,0,0,
0,468000,0,72000,0,0,
0,468000,0,72000,0,0,
0,468600,0,71400,0,0,
0,468600,0,71400,0,0,
0,468600,0,71400,0,0,
0,468600,0,71400,0,0,
0,468000,0,72000,0,0,
0,469800,0,70200,0,0,
0,464700,0,75300,0,0,
0,464700,0,75300,0,0,
0,468300,0,71700,0,0,
0,452100,0,87900,0,0,
0,451500,0,88500,0,0,
0,451500,0,88500,0,0,
0,452100,0,87900,0,0,
0,452100,0,87900,0,0,
0,455700,0,84300,0,0,
0,455700,0,84300,0,0,
0,456300,0,83700,0,0,
0,456300,0,83700,0,0,
0,456900,0,83100,0,0,
0,456900,0,83100,0,0,
0,456900,0,83100,0,0,
0,458700,0,81300,0,0,
0,466500,0,73500,0,0,
0,466500,0,73500,0,0,
0,472500,0,67500,0,0,
0,472500,0,67500,0,0,
0,472500,0,67500,0,0,
0,463500,0,76500,0,0,
0,453000,0,87000,0,0,
0,453000,0,87000,0,0,
0,453000,0,87000,0,0,
0,453000,0,87000,0,0,
0,453000,0,87000,0,0,
0,460200,0,79800,0,0,
0,459600,0,80400,0,0,
0,459600,0,80400,0,0,
0,457200,0,82800,0,0,
0,457200,0,82800,0,0,
0,448200,0,91800,0,0,
0,457200,0,82800,0,0,
0,456600,0,83400,0,0,
0,447600,0,92400,0,0,
0,448200,0,91800,0,0,
0,444600,0,95400,0,0,
0,444600,0,95400,0,0,
0,444600,0,95400,0,0,
0,444000,0,96000,0,0,
0,444000,0,96000,0,0,
0,444000,0,96000,0,0,
0,445800,0,94200,0,0,
0,444000,0,96000,0,0,
0,444000,0,96000,0,0,
0,450000,0,90000,0,0,
0,450000,0,90000,0,0,
0,449400,0,90600,0,0,
0,449400,0,90600,0,0,
0,445800,0,94200,0,0,
0,445800,0,94200,0,0,
0,445200,0,94800,0,0,
0,447000,0,93000,0,0,
0,447600,0,92400,0,0,
0,447600,0,92400,0,0,
0,447600,0,92400,0,0,
0,447600,0,92400,0,0,
0,450000,0,90000,0,0,
0,450000,0,90000,0,0,
0,450600,0,89400,0,0,
0,450600,0,89400,0,0,
0,450600,0,89400,0,0,
0,450600,0,89400,0,0,
0,462000,0,78000,0,0,
0,462000,0,78000,0,0,
0,461400,0,78600,0,0,
0,461400,0,78600,0,0,
0,470400,0,69600,0,0,
0,470400,0,69600,0,0,
0,471000,0,69000,0,0,
0,471000,0,69000,0,0,
0,482100,0,57900,0,0,
0,482100,0,57900,0,0,
0,482100,0,57900,0,0,
0,482100,0,57900,0,0,
0,481500,0,58500,0,0,
0,494100,0,45900,0,0,
0,505200,0,34800,0,0,
0,505200,0,34800,0,0,
0,505200,0,34800,0,0,
0,505200,0,34800,0,0,
0,511200,0,28800,0,0,
0,514800,0,25200,0,0,
0,530700,0,9300,0,0,
0,530700,0,9300,0,0,
0,530700,0,9300,0,0,
0,530700,0,9300,0,0,
0,534900,0,5100,0,0,
0,534900,0,5100,0,0,
0,540000,0,0,0,0,
