EXPECTATION,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXPECTATION,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,
90000,90000,90000,90000,90000,90000,
91200,88800,90000,90000,90000,90000,
81600,88200,100200,90000,90000,90000,
81600,88200,115500,89400,75300,90000,
81600,88200,122400,83400,74400,90000,
81600,107400,122400,83400,64800,80400,
75600,107400,114600,97800,64800,79800,
75000,108000,114600,97800,64800,79800,
75000,107400,112200,97800,64800,82800,
75000,107400,123600,86400,64800,82800,
75000,107400,123000,75000,63900,95700,
75000,107400,123000,75000,75300,84300,
74400,107400,118800,75000,75300,89100,
71400,105900,118800,75000,79800,89100,
71400,99900,124800,75000,79800,89100,
71400,99900,118800,74400,79800,95700,
71400,99900,118800,72900,81300,95700,
71400,99900,118800,72900,80700,96300,
70800,90300,118800,72900,80700,106500,
71100,89700,118800,72900,80700,106800,
71100,97500,111000,72900,80700,106800,
71100,97500,110400,66900,87300,106800,
71100,96900,110400,66300,88500,106800,
71100,96900,110400,66300,87900,107400,
66300,96900,110400,61500,86700,118200,
65400,103800,104400,61500,86700,118200,
74400,99300,99900,61500,86700,118200,
74400,99300,101400,60000,86700,118200,
77400,99300,101400,58500,85200,118200,
77400,99300,91800,58500,95400,117600,
76800,99300,91800,58500,95400,118200,
72000,97800,91800,58500,95400,124500,
72000,97200,92400,58500,95400,124500,
72000,97200,93900,57000,95400,124500,
72000,97200,93900,56100,96300,124500,
72000,110100,93900,49800,90600,123600,
60600,98700,125100,49200,90600,115800,
62100,97200,125100,49200,90600,115800,
62100,96600,125700,49200,90600,115800,
62100,96600,124500,48000,91800,117000,
62100,96600,124500,46800,93000,117000,
62100,96600,124500,45300,96000,115500,
56100,96600,137100,45300,95400,109500,
46500,87000,137100,45300,95400,128700,
46500,75600,148500,45300,95400,128700,
46500,82200,147900,39300,95400,128700,
46500,76200,141900,51900,94800,128700,
46500,76200,141300,40500,83400,152100,
45900,66600,146400,40500,83400,157200,
44700,65400,148800,40500,83400,157200,
44700,69600,144600,40500,83400,157200,
44700,69600,147600,37500,83400,157200,
44700,69600,153900,32700,81900,157200,
44700,69600,169500,32700,74100,149400,
38700,63600,169500,50700,74100,143400,
42300,63000,168000,50700,74100,141900,
42300,54000,177600,50700,74100,141300,
42300,54000,169500,58800,74100,141300,
42300,72600,168900,52800,68100,135300,
42300,72600,168900,52800,66300,137100,
41700,72600,172200,56100,66300,131100,
51000,71400,172200,56100,66300,123000,
51600,72000,171000,56100,66300,123000,
51600,72000,182400,44700,66300,123000,
51600,72000,182400,46200,64800,123000,
51600,72600,182400,46800,64200,122400,
45300,72600,195900,46800,63300,116100,
46800,71100,195900,46800,63300,116100,
46800,70500,196500,46800,63300,116100,
46800,64500,203100,46200,63300,116100,
46800,63900,203100,52800,57300,116100,
46800,82500,203100,52200,48300,107100,
45600,82500,201900,50700,48300,111000,
42600,81000,201900,50700,52800,111000,
42600,80400,202500,50700,52800,111000,
42600,92400,196500,44700,52800,111000,
42600,92400,196500,47700,49800,111000,
42600,83100,189000,74400,40500,110400,
42000,83100,189000,74400,50700,100800,
36000,93900,189000,74400,50100,96600,
36000,93300,187200,74400,52500,96600,
36000,93300,186600,68400,52500,103200,
36000,93300,186600,69600,51300,103200,
36000,93300,186600,69600,53100,101400,
37500,93300,186600,69600,53100,99900,
57300,83700,177000,69600,53100,99300,
57300,83100,183000,69600,47700,99300,
57300,83100,184800,68700,46800,99300,
57300,83100,184800,69900,45600,99300,
57300,83100,182400,69900,45000,102300,
52800,82500,182400,69900,45000,107400,
54000,81300,182400,69900,45000,107400,
54000,88500,175200,69900,45000,107400,
54000,88500,175800,69300,45000,107400,
54000,88500,175800,70800,43500,107400,
54000,90900,175800,70800,42900,105600,
42600,90900,164400,70800,42900,128400,
44100,89400,164400,70800,42900,128400,
44100,88800,173400,70800,42300,120600,
44100,88800,173400,70800,42300,120600,
44100,92700,173400,69600,39600,120600,
44100,92700,173400,69600,39000,121200,
45600,92700,173400,69600,39000,119700,
44700,88500,178500,69600,39000,119700,
44700,87900,177900,69600,49800,110100,
44700,81600,177300,82800,43500,110100,
44700,81600,177300,76800,49500,110100,
44700,73800,177300,76200,48900,119100,
56700,67800,177300,76200,48900,113100,
55500,70200,176100,76200,48900,113100,
55500,69600,173700,76200,48900,116100,
55500,69000,162300,75600,37500,140100,
55500,69000,162300,74100,39000,140100,
55500,69000,165900,73500,38400,137700,
58500,69000,164400,73500,38400,136200,
53700,64200,164400,73500,38400,145800,
48900,74400,159600,73500,37800,145800,
48900,73200,160200,74100,37800,145800,
48900,79200,160200,71100,34800,145800,
48900,79200,172200,71100,23400,145200,
48000,79200,172200,71100,23400,146100,
52200,76200,172200,71100,23400,144900,
52200,76800,171600,71100,23400,144900,
52200,76200,184200,65100,17400,144900,
52200,72600,188700,64800,16800,144900,
52200,72600,188100,67800,15900,143400,
48000,72600,188100,67800,9900,153600,
42000,83400,188100,67800,9300,149400,
48000,80400,185100,67800,9300,149400,
48000,74400,179100,79800,9300,149400,
48000,74400,177600,81900,8700,149400,
48000,73800,177600,81900,8100,150600,
42000,73800,177600,81900,14700,150000,
45000,72300,177600,81900,14700,148500,
45000,71700,178200,81900,14700,148500,
45000,71700,176700,83400,14700,148500,
45000,71700,170700,90000,14100,148500,
45000,71700,170700,90000,5100,157500,
40200,66900,170700,90000,5100,167100,
44400,63900,170700,90000,3900,167100,
43500,59400,178500,90000,3900,164700,
43500,51600,186900,89400,3900,164700,
43500,61500,186900,83400,0,164700,
43500,65100,183300,83400,0,164700,
40500,65100,183300,83400,0,167700,
39300,63900,183300,83400,0,170100,
39300,63300,183900,83400,0,170100,
39300,62400,185700,82500,0,170100,
39300,62400,185700,78000,0,174600,
30300,62100,195000,78000,0,174600,
34800,62100,195000,78000,0,170100,
36300,60600,195000,78000,0,170100,
36300,61200,194400,78000,0,170100,
36300,61200,195900,76500,0,170100,
36300,60600,195900,81600,0,165600,
36300,60600,195900,72600,0,174600,
36300,60600,195900,72600,0,174600,
33600,64200,195900,72600,0,173700,
33600,68700,191400,72600,0,173700,
33600,68700,192000,72000,0,173700,
33600,68700,192000,65700,0,180000,
33600,68700,192000,65700,0,180000,
22200,68700,192000,65700,0,191400,
16200,74700,192000,65700,0,191400,
16200,84300,182400,65700,0,191400,
16200,83700,163800,47100,0,229200,
16200,83700,157500,40800,0,241800,
16200,82500,158700,40800,0,241800,
15000,82500,158700,43500,0,240300,
16500,81000,158700,43500,0,240300,
16500,87000,152700,43500,0,240300,
16500,87000,151500,44700,0,240300,
16500,86400,151500,33300,0,252300,
16200,86700,151500,33300,0,252300,
19200,80700,151500,33300,0,255300,
20400,79500,151500,33300,0,255300,
43800,71700,143700,33300,0,247500,
43800,71700,153300,23700,0,247500,
43800,71100,153300,22800,0,249000,
43800,71100,162300,22800,0,240000,
44700,71100,162300,22800,0,239100,
44100,59700,162300,22800,0,251100,
44100,59100,161700,22800,0,252300,
44100,47700,173700,22200,0,252300,
44100,47700,173700,21600,0,252900,
44100,42300,173700,17700,0,262200,
34500,42300,183900,17700,0,261600,
36000,40800,183900,17700,0,261600,
36000,40200,185100,17700,0,261000,
36000,32400,184500,33900,0,253200,
36000,32400,183600,39300,0,248700,
36000,32400,183600,39300,0,248700,
43200,29400,182400,39300,0,245700,
42300,19800,202500,39300,0,236100,
42300,12000,210300,39300,0,236100,
42300,12000,208800,40800,0,236100,
42300,12000,208800,43800,0,233100,
43200,11100,208800,43800,0,233100,
38700,11100,208800,52800,0,228600,
32700,17100,208800,52800,0,228600,
32700,16500,209400,52800,0,228600,
32700,29100,208800,46800,0,222600,
32700,29100,208800,48300,0,221100,
32700,29100,208800,44700,0,224700,
37200,29100,208800,44700,0,220200,
34200,32100,208800,44700,0,220200,
33600,36300,205200,44700,0,220200,
33600,36300,216600,33300,0,220200,
33600,36300,216600,36300,0,217200,
33600,38100,214800,36300,0,217200,
35100,38100,214800,36300,0,215700,
32400,33900,222300,36300,0,215100,
32400,33300,222900,36300,0,215100,
32400,33300,228900,30300,0,215100,
32400,33300,228900,25500,0,219900,
32400,35100,228900,25500,0,218100,
31800,35100,228900,25500,0,218700,
25800,41100,228900,25500,0,218700,
25200,40500,226500,25500,0,222300,
25200,40500,225000,27000,0,222300,
25200,40500,225000,21000,0,228300,
25200,47400,225000,16200,0,226200,
19200,59400,225000,16200,0,220200,
18300,68100,217200,16200,0,220200,
18300,67500,217800,16200,0,220200,
18300,75900,210000,15600,0,220200,
18300,75900,210000,12600,0,223200,
18300,75900,210000,12600,0,223200,
20700,75900,210000,11100,0,222300,
16200,80400,210000,11100,0,222300,
16200,79800,209400,11100,0,223500,
16200,79800,203400,17100,0,223500,
16200,79800,203400,15600,0,225000,
16200,79800,203400,15600,0,225000,
17700,79800,203400,15600,0,223500,
19200,78300,203400,15600,0,223500,
19200,77700,204000,15600,0,223500,
19200,77700,196200,7800,0,239100,
19200,77700,203100,1800,0,238200,
19200,77700,203100,0,0,240000,
22200,77700,203100,0,0,237000,
21000,71400,203100,0,0,244500,
21000,61800,212700,0,0,244500,
21000,61800,215100,0,0,242100,
21600,61200,215100,0,0,242100,
21600,61200,215100,0,0,242100,
13800,61200,215100,0,0,249900,
15300,59700,215100,0,0,249900,
15300,51600,223200,0,0,249900,
15300,58200,217200,0,0,249300,
15600,57900,217200,0,0,249300,
15600,57900,217200,0,0,249300,
17100,57900,217200,0,0,247800,
11100,63900,217200,0,0,247800,
11100,68100,213000,0,0,247800,
11100,68100,201600,0,0,259200,
7500,66900,201600,0,0,264000,
8400,66000,201600,0,0,264000,
2400,66000,201600,0,0,270000,
0,68400,201600,0,0,270000,
0,67800,202800,0,0,269400,
0,67800,203400,0,0,268800,
0,67800,203400,0,0,268800,
0,64200,203400,0,0,272400,
0,60000,203400,0,0,276600,
0,49200,203400,0,0,287400,
0,47100,205500,0,0,287400,
0,47100,206100,0,0,286800,
0,39900,206100,0,0,294000,
0,38100,204300,0,0,297600,
0,37500,196500,0,0,306000,
0,41100,196500,0,0,302400,
0,40500,197700,0,0,301800,
0,30900,197100,0,0,312000,
0,30900,197100,0,0,312000,
0,30900,198900,0,0,310200,
0,30900,198900,0,0,310200,
0,30900,198900,0,0,310200,
0,31500,198300,0,0,310200,
0,31500,192600,0,0,315900,
0,31500,192600,0,0,315900,
0,26100,183600,0,0,330300,
0,25500,184800,0,0,329700,
0,33300,184800,0,0,321900,
0,33900,184200,0,0,321900,
0,33900,184800,0,0,321300,
0,30300,188400,0,0,321300,
0,30300,188400,0,0,321300,
0,22500,180600,0,0,336900,
0,11700,191400,0,0,336900,
0,11100,187200,0,0,341700,
0,1500,177600,0,0,360900,
0,1500,174000,0,0,364500,
0,1500,174000,0,0,364500,
0,0,174000,0,0,366000,
0,0,174000,0,0,366000,
0,0,174000,0,0,366000,
0,0,164400,0,0,375600,
0,0,164400,0,0,375600,
0,0,164400,0,0,375600,
0,0,165000,0,0,375000,
0,0,165000,0,0,375000,
0,0,166800,0,0,373200,
0,0,166800,0,0,373200,
0,0,166800,0,0,373200,
0,0,166800,0,0,373200,
0,0,162600,0,0,377400,
0,0,162600,0,0,377400,
0,0,162600,0,0,377400,
0,0,163200,0,0,376800,
0,0,163200,0,0,376800,
0,0,163200,0,0,376800,
0,0,162600,0,0,377400,
0,0,162600,0,0,377400,
0,0,162600,0,0,377400,
0,0,162000,0,0,378000,
0,0,162000,0,0,378000,
0,0,153000,0,0,387000,
0,0,153600,0,0,386400,
0,0,153600,0,0,386400,
0,0,150000,0,0,390000,
0,0,150600,0,0,389400,
0,0,150600,0,0,389400,
0,0,141600,0,0,398400,
0,0,141000,0,0,399000,
0,0,148200,0,0,391800,
0,0,148200,0,0,391800,
0,0,147600,0,0,392400,
0,0,147600,0,0,392400,
0,0,147600,0,0,392400,
0,0,157200,0,0,382800,
0,0,157200,0,0,382800,
0,0,157200,0,0,382800,
0,0,165000,0,0,375000,
0,0,165000,0,0,375000,
0,0,165000,0,0,375000,
0,0,164400,0,0,375600,
0,0,164400,0,0,375600,
0,0,164400,0,0,375600,
0,0,165000,0,0,375000,
0,0,165000,0,0,375000,
0,0,165000,0,0,375000,
0,0,169200,0,0,370800,
0,0,169200,0,0,370800,
0,0,169200,0,0,370800,
0,0,168600,0,0,371400,
0,0,168600,0,0,371400,
0,0,168600,0,0,371400,
0,0,169200,0,0,370800,
0,0,162000,0,0,378000,
0,0,162000,0,0,378000,
0,0,169800,0,0,370200,
0,0,166200,0,0,373800,
0,0,166200,0,0,373800,
0,0,165600,0,0,374400,
0,0,165600,0,0,374400,
0,0,165600,0,0,374400,
0,0,159600,0,0,380400,
0,0,159600,0,0,380400,
0,0,159600,0,0,380400,
0,0,155400,0,0,384600,
0,0,144600,0,0,395400,
0,0,144600,0,0,395400,
0,0,144000,0,0,396000,
0,0,144000,0,0,396000,
0,0,144000,0,0,396000,
0,0,144600,0,0,395400,
0,0,144600,0,0,395400,
0,0,144600,0,0,395400,
0,0,144000,0,0,396000,
0,0,140400,0,0,399600,
0,0,140400,0,0,399600,
0,0,151800,0,0,388200,
0,0,151800,0,0,388200,
0,0,151800,0,0,388200,
0,0,151800,0,0,388200,
0,0,151800,0,0,388200,
0,0,141000,0,0,399000,
0,0,141600,0,0,398400,
0,0,141600,0,0,398400,
0,0,141600,0,0,398400,
0,0,142200,0,0,397800,
0,0,142200,0,0,397800,
0,0,142200,0,0,397800,
0,0,134400,0,0,405600,
0,0,134400,0,0,405600,
0,0,125400,0,0,414600,
0,0,124800,0,0,415200,
0,0,124800,0,0,415200,
0,0,124800,0,0,415200,
0,0,129000,0,0,411000,
0,0,130800,0,0,409200,
0,0,123600,0,0,416400,
0,0,135000,0,0,405000,
0,0,135000,0,0,405000,
0,0,135000,0,0,405000,
0,0,135600,0,0,404400,
0,0,135600,0,0,404400,
0,0,135600,0,0,404400,
0,0,135000,0,0,405000,
0,0,135000,0,0,405000,
0,0,136800,0,0,403200,
0,0,137400,0,0,402600,
0,0,137400,0,0,402600,
0,0,130200,0,0,409800,
0,0,124200,0,0,415800,
0,0,120600,0,0,419400,
0,0,118800,0,0,421200,
0,0,109200,0,0,430800,
0,0,107400,0,0,432600,
0,0,107400,0,0,432600,
0,0,108000,0,0,432000,
0,0,108000,0,0,432000,
0,0,108000,0,0,432000,
0,0,107400,0,0,432600,
0,0,107400,0,0,432600,
0,0,118200,0,0,421800,
0,0,117600,0,0,422400,
0,0,117600,0,0,422400,
0,0,117600,0,0,422400,
0,0,113400,0,0,426600,
0,0,113400,0,0,426600,
0,0,113400,0,0,426600,
0,0,114000,0,0,426000,
0,0,110400,0,0,429600,
0,0,110400,0,0,429600,
0,0,108000,0,0,432000,
0,0,108000,0,0,432000,
0,0,108000,0,0,432000,
0,0,117600,0,0,422400,
0,0,108600,0,0,431400,
0,0,103200,0,0,436800,
0,0,97200,0,0,442800,
0,0,97200,0,0,442800,
0,0,97200,0,0,442800,
0,0,97800,0,0,442200,
0,0,97800,0,0,442200,
0,0,97800,0,0,442200,
0,0,97200,0,0,442800,
0,0,97200,0,0,442800,
0,0,97200,0,0,442800,
0,0,91200,0,0,448800,
0,0,91200,0,0,448800,
0,0,87600,0,0,452400,
0,0,93600,0,0,446400,
0,0,93600,0,0,446400,
0,0,88200,0,0,451800,
0,0,87600,0,0,452400,
0,0,87600,0,0,452400,
0,0,112800,0,0,427200,
0,0,118800,0,0,421200,
0,0,118800,0,0,421200,
0,0,118800,0,0,421200,
0,0,119400,0,0,420600,
0,0,114000,0,0,426000,
0,0,114000,0,0,426000,
0,0,113400,0,0,426600,
0,0,113400,0,0,426600,
0,0,113400,0,0,426600,
0,0,114000,0,0,426000,
0,0,115800,0,0,424200,
