EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_8_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_8_FLOP_EX_LIMIT,EXACT_RANGE_EXP_8_FLOP_EX_LIMIT,
90000,90000,90000,90000,90000,90000,
82200,78600,90000,89400,109800,90000,
82200,78300,89400,89400,109800,90900,
82200,78300,89100,76800,122700,90900,
82200,78300,105900,63000,122100,88500,
82200,78300,105900,63000,122700,87900,
73200,78300,115200,63000,122700,87600,
72900,82800,111000,63000,122700,87600,
72900,82500,120300,54000,122700,87600,
72900,82500,120000,54300,122700,87600,
72900,82500,120000,46500,130500,87600,
72900,82500,135600,46500,129900,72600,
70500,86100,135600,46500,129300,72000,
69900,86700,135600,46500,129300,72000,
69900,94500,127800,46500,129300,72000,
69900,94500,127500,45900,138000,64200,
69900,94500,127500,45600,130200,72300,
78900,94500,126900,45600,129600,64500,
78300,95400,126900,45600,129600,64200,
78000,94800,126900,45600,129600,65100,
78000,82800,126300,70200,117600,65100,
78000,82800,127500,69600,117000,65100,
78000,82800,127500,69300,117300,65100,
78000,82800,127500,69300,117000,65400,
84900,82800,121500,68700,117000,65100,
104100,73200,121500,68700,117000,55500,
114600,72900,111900,68100,117000,55500,
114600,59100,111300,96300,117000,41700,
114600,59100,111300,95700,112800,46500,
125100,49500,111300,95700,112500,45900,
124500,49500,111300,95700,113700,45300,
124200,50400,111300,95700,113700,44700,
124200,50100,111600,95700,113700,44700,
124200,50100,101400,105900,113700,44700,
124200,50100,101400,111900,107700,44700,
124200,50100,90000,111900,119700,44100,
135600,50100,90000,111900,119700,32700,
126000,59700,90000,111900,119700,32700,
123600,62700,89400,111900,119700,32700,
123600,62700,90000,111300,119700,32700,
123000,62700,90000,110700,120900,32700,
123000,62700,90000,110700,121500,32100,
122400,63600,90000,110700,121500,31800,
126600,59400,90000,110700,121500,31800,
126600,48000,89400,110700,121500,43800,
126600,48000,89100,111000,121500,43800,
126600,47400,89100,110700,120900,45300,
126600,47550,89100,110700,120600,45450,
126900,47550,89100,110700,120600,45150,
119100,60750,89100,110100,120000,40950,
119100,60450,89400,110100,120000,40950,
112500,60450,96600,109500,120000,40950,
112500,60450,96600,109200,120300,40950,
112500,60450,96600,109200,120000,41250,
113100,60450,96600,109800,119400,40650,
112800,59850,96600,109800,120300,40650,
114000,59250,96000,109800,120300,40650,
121800,59250,88800,109200,120300,40650,
