EXACT_RANGE_EXP,EXACT_RANGE_EXP_2,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_2,EXACT_RANGE_EXP_6,
59100,0,39000,81900,0,0,
59100,0,39600,81300,0,0,
62700,0,36600,80700,0,0,
57300,0,29400,93300,0,0,
57300,0,29400,93300,0,0,
60300,0,28800,90900,0,0,
60300,0,31500,88200,0,0,
72300,0,25500,82200,0,0,
73200,0,25500,81300,0,0,
75900,0,22800,81300,0,0,
75900,0,22800,81300,0,0,
75300,0,23400,81300,0,0,
82500,0,16200,81300,0,0,
82500,0,15600,81900,0,0,
85200,0,15600,79200,0,0,
85200,0,15600,79200,0,0,
89100,0,15600,75300,0,0,
84900,0,19800,75300,0,0,
84900,0,19800,75300,0,0,
89700,0,15600,74700,0,0,
90300,0,15600,74100,0,0,
95700,0,14700,69600,0,0,
96600,0,15600,67800,0,0,
96000,0,15000,69000,0,0,
94200,0,16800,69000,0,0,
94200,0,15000,70800,0,0,
96000,0,14100,69900,0,0,
96000,0,14100,69900,0,0,
96000,0,21300,62700,0,0,
95400,0,21900,62700,0,0,
95400,0,21900,62700,0,0,
95400,0,24300,60300,0,0,
96000,0,24300,59700,0,0,
96000,0,24300,59700,0,0,
96600,0,23700,59700,0,0,
102600,0,17700,59700,0,0,
102600,0,17700,59700,0,0,
102600,0,15900,61500,0,0,
98400,0,15900,65700,0,0,
98400,0,15900,65700,0,0,
98400,0,15900,65700,0,0,
101400,0,12900,65700,0,0,
92400,0,30900,56700,0,0,
92400,0,30300,57300,0,0,
91800,0,30300,57900,0,0,
91800,0,30300,57900,0,0,
91200,0,30900,57900,0,0,
90600,0,28500,60900,0,0,
90600,0,28500,60900,0,0,
90600,0,22500,66900,0,0,
91500,0,22500,66000,0,0,
98100,0,21900,60000,0,0,
98100,0,21900,60000,0,0,
93600,0,26400,60000,0,0,
88800,0,26400,64800,0,0,
88800,0,27000,64200,0,0,
90000,0,27000,63000,0,0,
90000,0,27000,63000,0,0,
90000,0,27000,63000,0,0,
84000,0,33000,63000,0,0,
84000,0,33000,63000,0,0,
89400,0,32400,58200,0,0,
84000,0,30600,65400,0,0,
84000,0,30600,65400,0,0,
84000,0,38700,57300,0,0,
83400,0,39300,57300,0,0,
83400,0,39300,57300,0,0,
83400,0,45300,51300,0,0,
82800,0,46500,50700,0,0,
83700,0,46500,49800,0,0,
81900,0,45900,52200,0,0,
81300,0,45300,53400,0,0,
81300,0,45300,53400,0,0,
81300,0,44700,54000,0,0,
80700,0,38100,61200,0,0,
80700,0,38100,61200,0,0,
80700,0,38100,61200,0,0,
81300,0,37500,61200,0,0,
81300,0,37500,61200,0,0,
78900,0,40500,60600,0,0,
78900,0,40500,60600,0,0,
78300,0,37200,64500,0,0,
78300,0,37200,64500,0,0,
72300,0,36300,71400,0,0,
65100,0,43500,71400,0,0,
65100,0,36000,78900,0,0,
64500,0,36000,79500,0,0,
68100,0,32400,79500,0,0,
68100,0,32400,79500,0,0,
72600,0,27900,79500,0,0,
72600,0,27900,79500,0,0,
72600,0,27300,80100,0,0,
73200,0,27300,79500,0,0,
73200,0,27300,79500,0,0,
73200,0,32700,74100,0,0,
74100,0,31800,74100,0,0,
74100,0,31800,74100,0,0,
74100,0,40500,65400,0,0,
76500,0,40500,63000,0,0,
76500,0,40500,63000,0,0,
86100,0,30900,63000,0,0,
85500,0,32100,62400,0,0,
85500,0,32100,62400,0,0,
90900,0,31500,57600,0,0,
90300,0,31500,58200,0,0,
90300,0,27900,61800,0,0,
90300,0,27900,61800,0,0,
90900,0,27300,61800,0,0,
90900,0,27300,61800,0,0,
90900,0,24300,64800,0,0,
90300,0,30300,59400,0,0,
95700,0,30300,54000,0,0,
95700,0,30300,54000,0,0,
95700,0,30300,54000,0,0,
95700,0,24900,59400,0,0,
95700,0,20100,64200,0,0,
95100,0,15900,69000,0,0,
95400,0,15600,69000,0,0,
94800,0,15000,70200,0,0,
94200,0,15600,70200,0,0,
94200,0,15600,70200,0,0,
94200,0,16200,69600,0,0,
94800,0,16200,69000,0,0,
98700,0,12300,69000,0,0,
99300,0,11700,69000,0,0,
100800,0,10200,69000,0,0,
97200,0,10200,72600,0,0,
97200,0,10800,72000,0,0,
98100,0,10800,71100,0,0,
98100,0,10800,71100,0,0,
98700,0,10200,71100,0,0,
98100,0,10800,71100,0,0,
98100,0,10800,71100,0,0,
98100,0,7800,74100,0,0,
98700,0,7800,73500,0,0,
98700,0,7800,73500,0,0,
98700,0,7800,73500,0,0,
104700,0,1800,73500,0,0,
109500,0,0,70500,0,0,
105900,0,0,74100,0,0,
105300,0,0,74700,0,0,
105300,0,0,74700,0,0,
105300,0,0,74700,0,0,
104700,0,0,75300,0,0,
107100,0,0,72900,0,0,
106800,0,0,73200,0,0,
102600,0,0,77400,0,0,
102600,0,0,77400,0,0,
98700,0,0,81300,0,0,
101700,0,0,78300,0,0,
101700,0,0,78300,0,0,
101700,0,0,78300,0,0,
96900,0,0,83100,0,0,
96900,0,0,83100,0,0,
96900,0,0,83100,0,0,
92400,0,0,87600,0,0,
92400,0,0,87600,0,0,
92400,0,0,87600,0,0,
91800,0,0,88200,0,0,
91800,0,0,88200,0,0,
91800,0,0,88200,0,0,
92400,0,0,87600,0,0,
92400,0,0,87600,0,0,
92400,0,0,87600,0,0,
91800,0,0,88200,0,0,
91800,0,0,88200,0,0,
95700,0,0,84300,0,0,
96900,0,0,83100,0,0,
96900,0,0,83100,0,0,
100500,0,0,79500,0,0,
101100,0,0,78900,0,0,
101400,0,0,78600,0,0,
101400,0,0,78600,0,0,
99600,0,0,80400,0,0,
99600,0,0,80400,0,0,
99600,0,0,80400,0,0,
99000,0,0,81000,0,0,
99000,0,0,81000,0,0,
98700,0,0,81300,0,0,
98100,0,0,81900,0,0,
98100,0,0,81900,0,0,
98100,0,0,81900,0,0,
98700,0,0,81300,0,0,
98700,0,0,81300,0,0,
98400,0,0,81600,0,0,
93000,0,0,87000,0,0,
93000,0,0,87000,0,0,
96600,0,0,83400,0,0,
100800,0,0,79200,0,0,
100800,0,0,79200,0,0,
97800,0,0,82200,0,0,
93600,0,0,86400,0,0,
93600,0,0,86400,0,0,
93600,0,0,86400,0,0,
96600,0,0,83400,0,0,
96600,0,0,83400,0,0,
96600,0,0,83400,0,0,
97200,0,0,82800,0,0,
93600,0,0,86400,0,0,
93300,0,0,86700,0,0,
93900,0,0,86100,0,0,
93900,0,0,86100,0,0,
90000,0,0,90000,0,0,
93600,0,0,86400,0,0,
93600,0,0,86400,0,0,
93600,0,0,86400,0,0,
94500,0,0,85500,0,0,
94500,0,0,85500,0,0,
96300,0,0,83700,0,0,
90300,0,0,89700,0,0,
90300,0,0,89700,0,0,
90300,0,0,89700,0,0,
91500,0,0,88500,0,0,
91500,0,0,88500,0,0,
91500,0,0,88500,0,0,
90900,0,0,89100,0,0,
90900,0,0,89100,0,0,
90900,0,0,89100,0,0,
93900,0,0,86100,0,0,
93300,0,0,86700,0,0,
89400,0,0,90600,0,0,
87600,0,0,92400,0,0,
87600,0,0,92400,0,0,
91200,0,0,88800,0,0,
90600,0,0,89400,0,0,
94200,0,0,85800,0,0,
94200,0,0,85800,0,0,
88800,0,0,91200,0,0,
90000,0,0,90000,0,0,
90000,0,0,90000,0,0,
95700,0,0,84300,0,0,
95700,0,0,84300,0,0,
95700,0,0,84300,0,0,
92700,0,0,87300,0,0,
92700,0,0,87300,0,0,
92700,0,0,87300,0,0,
89100,0,0,90900,0,0,
89100,0,0,90900,0,0,
89100,0,0,90900,0,0,
93600,0,0,86400,0,0,
93600,0,0,86400,0,0,
93600,0,0,86400,0,0,
89400,0,0,90600,0,0,
90600,0,0,89400,0,0,
92400,0,0,87600,0,0,
91800,0,0,88200,0,0,
91800,0,0,88200,0,0,
91800,0,0,88200,0,0,
92700,0,0,87300,0,0,
95700,0,0,84300,0,0,
95700,0,0,84300,0,0,
95100,0,0,84900,0,0,
89700,0,0,90300,0,0,
89700,0,0,90300,0,0,
89100,0,0,90900,0,0,
89100,0,0,90900,0,0,
89100,0,0,90900,0,0,
90300,0,0,89700,0,0,
90300,0,0,89700,0,0,
90300,0,0,89700,0,0,
91500,0,0,88500,0,0,
91500,0,0,88500,0,0,
91500,0,0,88500,0,0,
92700,0,0,87300,0,0,
92700,0,0,87300,0,0,
92700,0,0,87300,0,0,
92100,0,0,87900,0,0,
93300,0,0,86700,0,0,
93300,0,0,86700,0,0,
94500,0,0,85500,0,0,
94500,0,0,85500,0,0,
94500,0,0,85500,0,0,
93900,0,0,86100,0,0,
96300,0,0,83700,0,0,
96300,0,0,83700,0,0,
98700,0,0,81300,0,0,
98700,0,0,81300,0,0,
98700,0,0,81300,0,0,
99900,0,0,80100,0,0,
97500,0,0,82500,0,0,
97500,0,0,82500,0,0,
99000,0,0,81000,0,0,
99000,0,0,81000,0,0,
99000,0,0,81000,0,0,
98400,0,0,81600,0,0,
98400,0,0,81600,0,0,
98400,0,0,81600,0,0,
94200,0,0,85800,0,0,
94200,0,0,85800,0,0,
94200,0,0,85800,0,0,
95100,0,0,84900,0,0,
95100,0,0,84900,0,0,
89100,0,0,90900,0,0,
83100,0,0,96900,0,0,
83100,0,0,96900,0,0,
83100,0,0,96900,0,0,
82500,0,0,97500,0,0,
83100,0,0,96900,0,0,
82200,0,0,97800,0,0,
85200,0,0,94800,0,0,
85200,0,0,94800,0,0,
85200,0,0,94800,0,0,
84600,0,0,95400,0,0,
84600,0,0,95400,0,0,
84000,0,0,96000,0,0,
79800,0,0,100200,0,0,
79800,0,0,100200,0,0,
79800,0,0,100200,0,0,
79800,0,0,100200,0,0,
79200,0,0,100800,0,0,
80700,0,0,99300,0,0,
80100,0,0,99900,0,0,
80100,0,0,99900,0,0,
80100,0,0,99900,0,0,
82800,0,0,97200,0,0,
82200,0,0,97800,0,0,
79200,0,0,100800,0,0,
82800,0,0,97200,0,0,
82800,0,0,97200,0,0,
82500,0,0,97500,0,0,
83100,0,0,96900,0,0,
82500,0,0,97500,0,0,
82500,0,0,97500,0,0,
81900,0,0,98100,0,0,
81900,0,0,98100,0,0,
80700,0,0,99300,0,0,
81300,0,0,98700,0,0,
84300,0,0,95700,0,0,
84300,0,0,95700,0,0,
88800,0,0,91200,0,0,
88800,0,0,91200,0,0,
88800,0,0,91200,0,0,
88800,0,0,91200,0,0,
88800,0,0,91200,0,0,
88800,0,0,91200,0,0,
88200,0,0,91800,0,0,
82200,0,0,97800,0,0,
82200,0,0,97800,0,0,
81600,0,0,98400,0,0,
81600,0,0,98400,0,0,
81600,0,0,98400,0,0,
81000,0,0,99000,0,0,
81000,0,0,99000,0,0,
81000,0,0,99000,0,0,
78000,0,0,102000,0,0,
78000,0,0,102000,0,0,
78000,0,0,102000,0,0,
77400,0,0,102600,0,0,
79200,0,0,100800,0,0,
76800,0,0,103200,0,0,
81000,0,0,99000,0,0,
81000,0,0,99000,0,0,
81000,0,0,99000,0,0,
81600,0,0,98400,0,0,
81600,0,0,98400,0,0,
78000,0,0,102000,0,0,
77400,0,0,102600,0,0,
77400,0,0,102600,0,0,
77400,0,0,102600,0,0,
80100,0,0,99900,0,0,
80100,0,0,99900,0,0,
80100,0,0,99900,0,0,
81600,0,0,98400,0,0,
81900,0,0,98100,0,0,
81900,0,0,98100,0,0,
84000,0,0,96000,0,0,
86400,0,0,93600,0,0,
86400,0,0,93600,0,0,
85800,0,0,94200,0,0,
85800,0,0,94200,0,0,
86700,0,0,93300,0,0,
81300,0,0,98700,0,0,
81300,0,0,98700,0,0,
84900,0,0,95100,0,0,
86400,0,0,93600,0,0,
86400,0,0,93600,0,0,
86400,0,0,93600,0,0,
87300,0,0,92700,0,0,
87300,0,0,92700,0,0,
87300,0,0,92700,0,0,
81300,0,0,98700,0,0,
82800,0,0,97200,0,0,
82800,0,0,97200,0,0,
85200,0,0,94800,0,0,
85200,0,0,94800,0,0,
85200,0,0,94800,0,0,
86100,0,0,93900,0,0,
87000,0,0,93000,0,0,
86700,0,0,93300,0,0,
84600,0,0,95400,0,0,
84600,0,0,95400,0,0,
84600,0,0,95400,0,0,
86100,0,0,93900,0,0,
86100,0,0,93900,0,0,
86100,0,0,93900,0,0,
86700,0,0,93300,0,0,
85500,0,0,94500,0,0,
85500,0,0,94500,0,0,
79800,0,0,100200,0,0,
79800,0,0,100200,0,0,
79800,0,0,100200,0,0,
79200,0,0,100800,0,0,
79200,0,0,100800,0,0,
79200,0,0,100800,0,0,
76200,0,0,103800,0,0,
76200,0,0,103800,0,0,
76200,0,0,103800,0,0,
75600,0,0,104400,0,0,
75600,0,0,104400,0,0,
81000,0,0,99000,0,0,
76200,0,0,103800,0,0,
78000,0,0,102000,0,0,
78900,0,0,101100,0,0,
84900,0,0,95100,0,0,
84900,0,0,95100,0,0,
84900,0,0,95100,0,0,
84900,0,0,95100,0,0,
84900,0,0,95100,0,0,
84900,0,0,95100,0,0,
78900,0,0,101100,0,0,
78900,0,0,101100,0,0,
78900,0,0,101100,0,0,
75900,0,0,104100,0,0,
75900,0,0,104100,0,0,
75600,0,0,104400,0,0,
79500,0,0,100500,0,0,
80700,0,0,99300,0,0,
80700,0,0,99300,0,0,
81300,0,0,98700,0,0,
81300,0,0,98700,0,0,
81300,0,0,98700,0,0,
80700,0,0,99300,0,0,
80700,0,0,99300,0,0,
74700,0,0,105300,0,0,
75600,0,0,104400,0,0,
74700,0,0,105300,0,0,
80100,0,0,99900,0,0,
74100,0,0,105900,0,0,
74100,0,0,105900,0,0,
72900,0,0,107100,0,0,
73500,0,0,106500,0,0,
73500,0,0,106500,0,0,
73800,0,0,106200,0,0,
73200,0,0,106800,0,0,
70200,0,0,109800,0,0,
70200,0,0,109800,0,0,
68400,0,0,111600,0,0,
70200,0,0,109800,0,0,
69600,0,0,110400,0,0,
69000,0,0,111000,0,0,
69000,0,0,111000,0,0,
69000,0,0,111000,0,0,
73200,0,0,106800,0,0,
73200,0,0,106800,0,0,
73200,0,0,106800,0,0,
74700,0,0,105300,0,0,
74700,0,0,105300,0,0,
74700,0,0,105300,0,0,
74100,0,0,105900,0,0,
74400,0,0,105600,0,0,
74400,0,0,105600,0,0,
75900,0,0,104100,0,0,
75900,0,0,104100,0,0,
75900,0,0,104100,0,0,
76500,0,0,103500,0,0,
76500,0,0,103500,0,0,
82500,0,0,97500,0,0,
85200,0,0,94800,0,0,
85200,0,0,94800,0,0,
80400,0,0,99600,0,0,
77400,0,0,102600,0,0,
77400,0,0,102600,0,0,
77400,0,0,102600,0,0,
76800,0,0,103200,0,0,
76800,0,0,103200,0,0,
72000,0,0,108000,0,0,
73200,0,0,106800,0,0,
73800,0,0,106200,0,0,
73800,0,0,106200,0,0,
74400,0,0,105600,0,0,
74400,0,0,105600,0,0,
74400,0,0,105600,0,0,
70200,0,0,109800,0,0,
73800,0,0,106200,0,0,
73800,0,0,106200,0,0,
73200,0,0,106800,0,0,
69600,0,0,110400,0,0,
72000,0,0,108000,0,0,
71400,0,0,108600,0,0,
71400,0,0,108600,0,0,
71400,0,0,108600,0,0,
70800,0,0,109200,0,0,
70800,0,0,109200,0,0,
67200,0,0,112800,0,0,
63300,0,0,116700,0,0,
57900,0,0,122100,0,0,
57900,0,0,122100,0,0,
58500,0,0,121500,0,0,
58500,0,0,121500,0,0,
58500,0,0,121500,0,0,
59700,0,0,120300,0,0,
59700,0,0,120300,0,0,
63600,0,0,116400,0,0,
60000,0,0,120000,0,0,
60000,0,0,120000,0,0,
60000,0,0,120000,0,0,
56400,0,0,123600,0,0,
56400,0,0,123600,0,0,
56400,0,0,123600,0,0,
62400,0,0,117600,0,0,
62400,0,0,117600,0,0,
62400,0,0,117600,0,0,
60000,0,0,120000,0,0,
60000,0,0,120000,0,0,
60000,0,0,120000,0,0,
59400,0,0,120600,0,0,
56400,0,0,123600,0,0,
52200,0,0,127800,0,0,
55500,0,0,124500,0,0,
55500,0,0,124500,0,0,
55200,0,0,124800,0,0,
52200,0,0,127800,0,0,
52200,0,0,127800,0,0,
52200,0,0,127800,0,0,
50400,0,0,129600,0,0,
50400,0,0,129600,0,0,
46500,0,0,133500,0,0,
45900,0,0,134100,0,0,
45900,0,0,134100,0,0,
45900,0,0,134100,0,0,
45300,0,0,134700,0,0,
45000,0,0,135000,0,0,
45000,0,0,135000,0,0,
45600,0,0,134400,0,0,
45600,0,0,134400,0,0,
44400,0,0,135600,0,0,
41400,0,0,138600,0,0,
45000,0,0,135000,0,0,
44400,0,0,135600,0,0,
43800,0,0,136200,0,0,
43800,0,0,136200,0,0,
47400,0,0,132600,0,0,
43200,0,0,136800,0,0,
43200,0,0,136800,0,0,
43200,0,0,136800,0,0,
42600,0,0,137400,0,0,
42600,0,0,137400,0,0,
42600,0,0,137400,0,0,
43200,0,0,136800,0,0,
37200,0,0,142800,0,0,
37200,0,0,142800,0,0,
36600,0,0,143400,0,0,
36600,0,0,143400,0,0,
36600,0,0,143400,0,0,
36000,0,0,144000,0,0,
36000,0,0,144000,0,0,
30000,0,0,150000,0,0,
24000,0,0,156000,0,0,
23700,0,0,156300,0,0,
23700,0,0,156300,0,0,
23100,0,0,156900,0,0,
23100,0,0,156900,0,0,
23700,0,0,156300,0,0,
29700,0,0,150300,0,0,
29700,0,0,150300,0,0,
29700,0,0,150300,0,0,
30300,0,0,149700,0,0,
29700,0,0,150300,0,0,
29700,0,0,150300,0,0,
29100,0,0,150900,0,0,
29100,0,0,150900,0,0,
29100,0,0,150900,0,0,
29700,0,0,150300,0,0,
29700,0,0,150300,0,0,
29700,0,0,150300,0,0,
29700,0,0,150300,0,0,
29700,0,0,150300,0,0,
29700,0,0,150300,0,0,
26700,0,0,153300,0,0,
26100,0,0,153900,0,0,
26100,0,0,153900,0,0,
25500,0,0,154500,0,0,
19500,0,0,160500,0,0,
21900,0,0,158100,0,0,
22500,0,0,157500,0,0,
17100,0,0,162900,0,0,
17100,0,0,162900,0,0,
16500,0,0,163500,0,0,
16500,0,0,163500,0,0,
11700,0,0,168300,0,0,
5700,0,0,174300,0,0,
7200,0,0,172800,0,0,
7200,0,0,172800,0,0,
8700,0,0,171300,0,0,
8700,0,0,171300,0,0,
9900,0,0,170100,0,0,
9300,0,0,170700,0,0,
9300,0,0,170700,0,0,
6900,0,0,173100,0,0,
7500,0,0,172500,0,0,
2700,0,0,177300,0,0,
3900,0,0,176100,0,0,
7200,0,0,172800,0,0,
7200,0,0,172800,0,0,
7200,0,0,172800,0,0,
11700,0,0,168300,0,0,
11700,0,0,168300,0,0,
11700,0,0,168300,0,0,
12300,0,0,167700,0,0,
12300,0,0,167700,0,0,
12300,0,0,167700,0,0,
9300,0,0,170700,0,0,
9300,0,0,170700,0,0,
12900,0,0,167100,0,0,
13500,0,0,166500,0,0,
14700,0,0,165300,0,0,
18300,0,0,161700,0,0,
19200,0,0,160800,0,0,
19200,0,0,160800,0,0,
19200,0,0,160800,0,0,
19800,0,0,160200,0,0,
19800,0,0,160200,0,0,
19800,0,0,160200,0,0,
19200,0,0,160800,0,0,
19200,0,0,160800,0,0,
19200,0,0,160800,0,0,
23400,0,0,156600,0,0,
23400,0,0,156600,0,0,
24300,0,0,155700,0,0,
23700,0,0,156300,0,0,
23700,0,0,156300,0,0,
23700,0,0,156300,0,0,
23100,0,0,156900,0,0,
23100,0,0,156900,0,0,
23100,0,0,156900,0,0,
21300,0,0,158700,0,0,
15300,0,0,164700,0,0,
11100,0,0,168900,0,0,
5100,0,0,174900,0,0,
5100,0,0,174900,0,0,
5700,0,0,174300,0,0,
6300,0,0,173700,0,0,
6300,0,0,173700,0,0,
6300,0,0,173700,0,0,
6900,0,0,173100,0,0,
