EXPECTATION,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXPECTATION,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,
0,72300,32700,0,0,75000,
0,72300,32700,0,0,75000,
0,71700,33900,0,0,74400,
0,71700,33900,0,0,74400,
0,73500,32100,0,0,74400,
0,73500,32700,0,0,73800,
0,75300,32700,0,0,72000,
0,75300,32700,0,0,72000,
0,80100,32700,0,0,67200,
0,72900,39900,0,0,67200,
0,72300,40500,0,0,67200,
0,72300,41100,0,0,66600,
0,72300,41100,0,0,66600,
0,72300,42900,0,0,64800,
0,71700,42900,0,0,65400,
0,71700,42900,0,0,65400,
0,75900,38700,0,0,65400,
0,79500,35700,0,0,64800,
0,79500,35700,0,0,64800,
0,74100,35700,0,0,70200,
0,72300,38100,0,0,69600,
0,65700,44700,0,0,69600,
0,74700,35700,0,0,69600,
0,74700,35100,0,0,70200,
0,74700,40500,0,0,64800,
0,74700,40500,0,0,64800,
0,86700,34500,0,0,58800,
0,85500,35700,0,0,58800,
0,96000,25200,0,0,58800,
0,96000,25800,0,0,58200,
0,96000,25800,0,0,58200,
0,96000,25800,0,0,58200,
0,95400,25800,0,0,58800,
0,88200,33000,0,0,58800,
0,87600,33600,0,0,58800,
0,78000,43800,0,0,58200,
0,78000,42000,0,0,60000,
0,78000,42000,0,0,60000,
0,77400,42000,0,0,60600,
0,77400,42000,0,0,60600,
0,70200,41400,0,0,68400,
0,70200,42000,0,0,67800,
0,61200,33000,0,0,85800,
0,61200,33000,0,0,85800,
0,65400,33000,0,0,81600,
0,65400,33000,0,0,81600,
0,71400,27000,0,0,81600,
0,71400,26400,0,0,82200,
0,80400,17400,0,0,82200,
0,80400,17400,0,0,82200,
0,79800,17400,0,0,82800,
0,79800,17400,0,0,82800,
0,101400,6600,0,0,72000,
0,101400,600,0,0,78000,
0,101400,0,0,0,78600,
0,101400,0,0,0,78600,
0,103200,0,0,0,76800,
0,103200,0,0,0,76800,
0,97200,0,0,0,82800,
0,97200,0,0,0,82800,
0,100800,0,0,0,79200,
0,104400,0,0,0,75600,
0,103800,0,0,0,76200,
0,103800,0,0,0,76200,
0,104400,0,0,0,75600,
0,104400,0,0,0,75600,
0,104400,0,0,0,75600,
0,104400,0,0,0,75600,
0,103800,0,0,0,76200,
0,103800,0,0,0,76200,
0,111300,0,0,0,68700,
0,111300,0,0,0,68700,
0,111300,0,0,0,68700,
0,107700,0,0,0,72300,
0,108300,0,0,0,71700,
0,115500,0,0,0,64500,
0,124800,0,0,0,55200,
0,124800,0,0,0,55200,
0,124800,0,0,0,55200,
0,124800,0,0,0,55200,
0,113400,0,0,0,66600,
0,113400,0,0,0,66600,
0,107400,0,0,0,72600,
0,107400,0,0,0,72600,
0,107400,0,0,0,72600,
0,107400,0,0,0,72600,
0,106800,0,0,0,73200,
0,106800,0,0,0,73200,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,117600,0,0,0,62400,
0,120000,0,0,0,60000,
0,119400,0,0,0,60600,
0,119400,0,0,0,60600,
0,119400,0,0,0,60600,
0,119400,0,0,0,60600,
0,108000,0,0,0,72000,
0,108000,0,0,0,72000,
0,107400,0,0,0,72600,
0,107400,0,0,0,72600,
0,107400,0,0,0,72600,
0,112800,0,0,0,67200,
0,117000,0,0,0,63000,
0,117000,0,0,0,63000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,109200,0,0,0,70800,
0,108600,0,0,0,71400,
0,114600,0,0,0,65400,
0,114000,0,0,0,66000,
0,119400,0,0,0,60600,
0,119400,0,0,0,60600,
0,108600,0,0,0,71400,
0,110400,0,0,0,69600,
0,110400,0,0,0,69600,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,110400,0,0,0,69600,
0,114000,0,0,0,66000,
0,116400,0,0,0,63600,
0,116400,0,0,0,63600,
0,115200,0,0,0,64800,
0,115200,0,0,0,64800,
0,109800,0,0,0,70200,
0,109800,0,0,0,70200,
0,110400,0,0,0,69600,
0,110400,0,0,0,69600,
0,105000,0,0,0,75000,
0,105000,0,0,0,75000,
0,104400,0,0,0,75600,
0,111600,0,0,0,68400,
0,115800,0,0,0,64200,
0,115800,0,0,0,64200,
0,115800,0,0,0,64200,
0,115800,0,0,0,64200,
0,121800,0,0,0,58200,
0,117000,0,0,0,63000,
0,113400,0,0,0,66600,
0,113400,0,0,0,66600,
0,100800,0,0,0,79200,
0,100800,0,0,0,79200,
0,89700,0,0,0,90300,
0,81300,0,0,0,98700,
0,91800,0,0,0,88200,
0,95400,0,0,0,84600,
0,97200,0,0,0,82800,
0,97200,0,0,0,82800,
0,105000,0,0,0,75000,
0,106800,0,0,0,73200,
0,119400,0,0,0,60600,
0,119400,0,0,0,60600,
0,119400,0,0,0,60600,
0,119400,0,0,0,60600,
0,113400,0,0,0,66600,
0,113400,0,0,0,66600,
0,124800,0,0,0,55200,
0,124800,0,0,0,55200,
0,124800,0,0,0,55200,
0,124800,0,0,0,55200,
0,124800,0,0,0,55200,
0,124800,0,0,0,55200,
0,120600,0,0,0,59400,
0,120600,0,0,0,59400,
0,120600,0,0,0,59400,
0,120600,0,0,0,59400,
0,120000,0,0,0,60000,
0,120000,0,0,0,60000,
0,112200,0,0,0,67800,
0,112200,0,0,0,67800,
0,112200,0,0,0,67800,
0,112200,0,0,0,67800,
0,115200,0,0,0,64800,
0,115200,0,0,0,64800,
0,119400,0,0,0,60600,
0,119400,0,0,0,60600,
0,106800,0,0,0,73200,
0,106800,0,0,0,73200,
0,106800,0,0,0,73200,
0,106800,0,0,0,73200,
0,109200,0,0,0,70800,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,109200,0,0,0,70800,
0,111000,0,0,0,69000,
0,110400,0,0,0,69600,
0,110400,0,0,0,69600,
0,110400,0,0,0,69600,
0,110400,0,0,0,69600,
0,109800,0,0,0,70200,
0,109800,0,0,0,70200,
0,103800,0,0,0,76200,
0,98400,0,0,0,81600,
0,98400,0,0,0,81600,
0,98400,0,0,0,81600,
0,99000,0,0,0,81000,
0,99000,0,0,0,81000,
0,108000,0,0,0,72000,
0,115200,0,0,0,64800,
0,115200,0,0,0,64800,
0,118800,0,0,0,61200,
0,118200,0,0,0,61800,
0,118200,0,0,0,61800,
0,127800,0,0,0,52200,
0,133200,0,0,0,46800,
0,133200,0,0,0,46800,
0,133200,0,0,0,46800,
0,133800,0,0,0,46200,
0,142200,0,0,0,37800,
0,142800,0,0,0,37200,
0,142800,0,0,0,37200,
0,142800,0,0,0,37200,
0,142800,0,0,0,37200,
0,135000,0,0,0,45000,
0,135000,0,0,0,45000,
0,125400,0,0,0,54600,
0,125400,0,0,0,54600,
0,124200,0,0,0,55800,
0,124200,0,0,0,55800,
0,123600,0,0,0,56400,
0,123600,0,0,0,56400,
0,124200,0,0,0,55800,
0,124200,0,0,0,55800,
0,124200,0,0,0,55800,
0,124200,0,0,0,55800,
0,124800,0,0,0,55200,
0,124800,0,0,0,55200,
0,125400,0,0,0,54600,
0,125400,0,0,0,54600,
0,125400,0,0,0,54600,
0,125400,0,0,0,54600,
0,121200,0,0,0,58800,
0,127200,0,0,0,52800,
0,119400,0,0,0,60600,
0,119400,0,0,0,60600,
0,108600,0,0,0,71400,
0,108600,0,0,0,71400,
0,112800,0,0,0,67200,
0,112800,0,0,0,67200,
0,112200,0,0,0,67800,
0,112200,0,0,0,67800,
0,106800,0,0,0,73200,
0,106800,0,0,0,73200,
0,106200,0,0,0,73800,
0,113400,0,0,0,66600,
0,118200,0,0,0,61800,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,111000,0,0,0,69000,
0,110400,0,0,0,69600,
0,110400,0,0,0,69600,
0,110400,0,0,0,69600,
0,110400,0,0,0,69600,
0,109800,0,0,0,70200,
0,115200,0,0,0,64800,
0,120000,0,0,0,60000,
0,120000,0,0,0,60000,
0,120000,0,0,0,60000,
0,120000,0,0,0,60000,
0,120600,0,0,0,59400,
0,119400,0,0,0,60600,
0,113400,0,0,0,66600,
0,113400,0,0,0,66600,
0,113400,0,0,0,66600,
0,115200,0,0,0,64800,
0,115800,0,0,0,64200,
0,115800,0,0,0,64200,
0,121800,0,0,0,58200,
0,121800,0,0,0,58200,
0,121800,0,0,0,58200,
0,121800,0,0,0,58200,
0,127200,0,0,0,52800,
0,127200,0,0,0,52800,
0,131400,0,0,0,48600,
0,131400,0,0,0,48600,
0,131400,0,0,0,48600,
0,131400,0,0,0,48600,
0,130800,0,0,0,49200,
0,130800,0,0,0,49200,
0,133800,0,0,0,46200,
0,133800,0,0,0,46200,
0,133800,0,0,0,46200,
0,128400,0,0,0,51600,
0,132600,0,0,0,47400,
0,132600,0,0,0,47400,
0,121200,0,0,0,58800,
0,121200,0,0,0,58800,
0,121200,0,0,0,58800,
0,121200,0,0,0,58800,
0,121800,0,0,0,58200,
0,121800,0,0,0,58200,
0,121800,0,0,0,58200,
0,121800,0,0,0,58200,
0,121800,0,0,0,58200,
0,121800,0,0,0,58200,
0,121800,0,0,0,58200,
0,120600,0,0,0,59400,
0,121200,0,0,0,58800,
0,121200,0,0,0,58800,
0,114000,0,0,0,66000,
0,114000,0,0,0,66000,
0,113400,0,0,0,66600,
0,113400,0,0,0,66600,
0,105600,0,0,0,74400,
0,96600,0,0,0,83400,
0,87600,0,0,0,92400,
0,78600,0,0,0,101400,
0,79200,0,0,0,100800,
0,76800,0,0,0,103200,
0,76200,0,0,0,103800,
0,79800,0,0,0,100200,
0,76200,0,0,0,103800,
0,76200,0,0,0,103800,
0,75600,0,0,0,104400,
0,75600,0,0,0,104400,
0,76200,0,0,0,103800,
0,69000,0,0,0,111000,
0,72600,0,0,0,107400,
0,67200,0,0,0,112800,
0,61200,0,0,0,118800,
0,66600,0,0,0,113400,
0,66000,0,0,0,114000,
0,66000,0,0,0,114000,
0,66000,0,0,0,114000,
0,53400,0,0,0,126600,
0,57600,0,0,0,122400,
0,54000,0,0,0,126000,
0,53400,0,0,0,126600,
0,53400,0,0,0,126600,
0,53400,0,0,0,126600,
0,48000,0,0,0,132000,
0,48600,0,0,0,131400,
0,48600,0,0,0,131400,
0,48000,0,0,0,132000,
0,48000,0,0,0,132000,
0,48000,0,0,0,132000,
0,48000,0,0,0,132000,
0,55800,0,0,0,124200,
0,55800,0,0,0,124200,
0,60000,0,0,0,120000,
0,60000,0,0,0,120000,
0,60000,0,0,0,120000,
0,58200,0,0,0,121800,
0,51000,0,0,0,129000,
0,51000,0,0,0,129000,
0,51600,0,0,0,128400,
0,51600,0,0,0,128400,
0,51600,0,0,0,128400,
0,51600,0,0,0,128400,
0,52200,0,0,0,127800,
0,52200,0,0,0,127800,
0,52800,0,0,0,127200,
0,52800,0,0,0,127200,
0,52800,0,0,0,127200,
0,52800,0,0,0,127200,
0,46200,0,0,0,133800,
0,46200,0,0,0,133800,
0,52200,0,0,0,127800,
0,52200,0,0,0,127800,
0,50400,0,0,0,129600,
0,50400,0,0,0,129600,
0,53400,0,0,0,126600,
0,53400,0,0,0,126600,
0,47400,0,0,0,132600,
0,40200,0,0,0,139800,
0,40200,0,0,0,139800,
0,34800,0,0,0,145200,
0,35400,0,0,0,144600,
0,35400,0,0,0,144600,
0,38400,0,0,0,141600,
0,38400,0,0,0,141600,
0,38400,0,0,0,141600,
0,38400,0,0,0,141600,
0,39000,0,0,0,141000,
0,39000,0,0,0,141000,
0,38400,0,0,0,141600,
0,38400,0,0,0,141600,
0,38400,0,0,0,141600,
0,38400,0,0,0,141600,
0,39000,0,0,0,141000,
0,39000,0,0,0,141000,
0,33000,0,0,0,147000,
0,33000,0,0,0,147000,
0,33000,0,0,0,147000,
0,33000,0,0,0,147000,
0,33600,0,0,0,146400,
0,33600,0,0,0,146400,
0,34200,0,0,0,145800,
0,34200,0,0,0,145800,
0,27000,0,0,0,153000,
0,28800,0,0,0,151200,
0,19200,0,0,0,160800,
0,13800,0,0,0,166200,
0,13200,0,0,0,166800,
0,4200,0,0,0,175800,
0,0,0,0,0,180000,
