EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_16_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_16_FLOP_EX_LIMIT,
90000,90000,90000,90000,90000,90000,
89700,90300,90000,90000,90000,90000,
89700,102300,89400,90000,78600,90000,
89700,102300,89100,99900,78600,80400,
89700,102300,89100,95700,82800,80400,
89700,103800,89100,95100,82500,79800,
89100,103800,89100,95100,82500,80400,
88800,103200,89100,103800,74700,80400,
88800,102900,86100,107100,74700,80400,
88800,102900,85800,106500,75600,80400,
88800,102900,85800,106200,75900,80400,
88800,102900,85800,106200,75600,80700,
90300,102900,85800,105600,75000,80400,
86100,107100,85800,105600,75000,80400,
86100,106800,85200,106500,75000,80400,
86100,106800,85800,105900,75000,80400,
86100,106800,85800,105600,75300,80400,
86100,106800,85800,105600,75000,80700,
86400,106800,85800,105600,75000,80400,
82200,111600,85200,105600,75000,80400,
82200,111300,70200,105600,75000,95700,
82200,111300,71400,105000,75000,95100,
82200,111300,71400,112800,67200,95100,
82200,111300,71400,112800,66900,95400,
81600,108900,71400,122400,60900,94800,
81300,122400,58200,122400,60900,94800,
89400,122100,50400,122400,60900,94800,
89400,122100,50100,126900,60900,90600,
89400,121500,49500,110100,78900,90600,
89400,121500,49500,122100,67500,90000,
88800,121500,49500,122100,68700,89400,
88500,129600,41700,122100,68700,89400,
88500,121800,49500,122100,68700,89400,
88500,121800,48900,117900,73500,89400,
88500,121800,48900,123900,67500,89400,
88500,121800,48900,123900,68100,88800,
98700,121800,44700,123900,68100,82800,
99300,121200,44700,123900,68100,82800,
99300,120900,45000,123900,68100,82800,
99300,120900,52200,116700,68100,82800,
99300,120900,52200,128100,56700,82800,
99300,120900,52200,128100,56100,83400,
98700,120300,52200,128100,66900,73800,
98400,136200,52200,127500,66900,58800,
87000,124800,51600,162300,66900,47400,
87000,124800,51000,150900,78900,47400,
81000,124800,46800,161700,78300,47400,
81000,124800,48600,161100,77700,46800,
80400,124800,48600,161100,77700,47400,
80100,124200,51300,160500,77100,46800,
80100,124800,50700,160500,77100,46800,
80100,124800,58500,152700,77100,46800,
80100,125700,58500,152400,76500,46800,
80100,108900,58500,152400,93900,46200,
74700,108900,89100,152400,81300,33600,
74100,123300,89100,139200,81300,33000,
74100,123000,89400,139200,81300,33000,
74100,123000,90000,138600,81300,33000,
73500,122400,99300,138300,73500,33000,
73500,143100,99300,138300,73200,12600,
72900,143100,99300,138300,73200,13200,
72300,142500,99300,152700,73200,0,
72300,142500,99300,152700,73200,0,
72300,142500,99000,153000,73200,0,
72300,142500,99000,152700,73500,0,
71700,142500,84000,152700,89100,0,
71700,142500,84000,152700,89100,0,
71400,142800,84000,152700,89100,0,
101400,127800,69000,152700,89100,0,
96000,127800,75600,152100,88500,0,
111900,127800,75000,151800,73500,0,
111300,127800,75000,151800,74100,0,
111300,127800,75000,151800,74100,0,
107100,132600,75000,151800,73500,0,
107100,132300,75300,151800,73500,0,
107100,132300,75000,152100,73500,0,
107100,132300,60000,151800,88800,0,
106500,132300,60900,151800,88500,0,
106500,132300,60900,151800,88500,0,
118500,120900,60900,151800,87900,0,
95700,120600,38100,151200,134400,0,
95700,120600,37800,151500,134400,0,
95700,120600,37800,152100,133800,0,
103800,112800,37800,152100,133500,0,
103800,112800,37800,152100,133500,0,
103500,113100,37800,152100,133500,0,
103500,119700,31200,152100,133500,0,
103500,119700,30900,152400,133500,0,
103500,96300,68700,138600,132900,0,
103800,96300,68700,138600,132600,0,
103800,96300,68700,138600,132600,0,
103200,95700,64500,138600,138000,0,
103200,95400,72600,130800,138000,0,
102600,115200,54000,130200,138000,0,
102600,115200,54000,129900,138300,0,
102900,115200,54000,129900,138000,0,
102900,126000,54000,119100,138000,0,
102600,125400,54000,119100,138900,0,
102600,125100,54300,119100,138900,0,
102600,126000,54000,118500,138900,0,
102600,126000,53400,105300,152700,0,
102900,126000,53400,105300,152400,0,
102900,126000,53400,105300,152400,0,
104100,125400,53400,104700,152400,0,
104100,125100,53700,104700,152400,0,
105600,125100,53400,104100,151800,0,
105600,125100,53400,103800,152100,0,
105000,125100,52800,105300,151800,0,
105000,125100,43200,114900,151800,0,
104400,125400,43200,115200,151800,0,
99000,125100,48900,115200,151800,0,
99000,125100,46500,117600,151800,0,
109800,124500,46500,109800,149400,0,
116400,124500,45900,109800,143400,0,
116400,124500,45900,109800,143400,0,
99600,141300,45900,109800,143400,0,
99600,141000,46200,109800,143400,0,
99600,141000,45900,110100,143400,0,
99600,131400,45900,109500,153600,0,
99900,131400,45900,109500,153300,0,
99900,146400,39900,100500,153300,0,
99600,147300,39300,100500,153300,0,
99000,159900,38700,89100,153300,0,
99000,159900,38400,89400,153300,0,
110700,159900,38400,89100,141900,0,
99300,159900,38400,89100,153300,0,
99300,159900,38400,89100,153300,0,
105300,153900,38400,89100,153300,0,
105300,153300,39000,89100,153300,0,
105900,152700,39600,88500,153300,0,
105300,152700,39000,78900,164100,0,
93900,152700,39000,78900,175500,0,
93900,152700,39000,78900,175500,0,
96300,150300,39000,78900,175500,0,
96300,161700,27600,78900,175500,0,
96300,179700,10200,78300,175500,0,
96300,179700,10200,78000,175800,0,
96600,179700,10200,78000,175500,0,
102000,170700,10200,83400,173700,0,
83400,189900,10200,82800,173700,0,
105000,178500,0,82800,173700,0,
94200,178500,0,82800,184500,0,
82800,178500,0,94800,183900,0,
82200,178500,0,94800,184500,0,
82200,174900,0,98400,184500,0,
70800,186300,0,98400,184500,0,
70200,186000,0,99300,184500,0,
70200,196800,0,92100,180900,0,
57000,196800,0,91800,194400,0,
57300,196800,0,91800,194100,0,
57300,193200,0,95400,194100,0,
56700,189000,0,95400,198900,0,
47100,188700,0,105300,198900,0,
36300,188700,0,116100,198900,0,
35700,188700,0,102900,212700,0,
36000,188700,0,102900,212400,0,
36000,188700,0,102900,212400,0,
35700,189000,0,102900,212400,0,
35100,188700,0,102300,213900,0,
35100,188700,0,95100,221100,0,
35100,188700,0,94800,221400,0,
35700,188700,0,94800,220800,0,
39300,186900,0,93000,220800,0,
39900,186300,0,93000,220800,0,
39300,185700,0,78000,237000,0,
39300,185700,0,78000,237000,0,
38700,185700,0,68400,247200,0,
23700,185700,0,68400,262200,0,
23700,185700,0,68400,262200,0,
23100,185100,0,69600,262200,0,
23100,184800,0,69900,262200,0,
23100,168600,0,69900,278400,0,
28200,168000,0,69600,274200,0,
28500,168000,0,69600,273900,0,
28500,168000,0,69600,273900,0,
29100,167400,0,69600,273900,0,
29100,167100,0,69900,273900,0,
29100,145500,0,91500,273900,0,
29100,130500,0,107100,273300,0,
28500,131400,0,107100,273000,0,
28500,113400,0,92700,305400,0,
28200,113700,0,92700,305400,0,
28200,102300,0,104100,305400,0,
28200,102300,0,104100,305400,0,
28200,102300,0,103800,305700,0,
28500,102300,0,103800,305400,0,
28500,102300,0,103800,305400,0,
28200,101700,0,103800,306300,0,
28200,101400,0,104100,306300,0,
1200,155400,0,77100,306300,0,
1200,163800,0,76500,298500,0,
600,163800,0,77400,298200,0,
600,167400,0,73800,298200,0,
300,150600,0,73800,315300,0,
300,150300,0,74100,315300,0,
300,150300,0,77700,311700,0,
300,150300,0,81900,307500,0,
300,149700,0,81900,308100,0,
0,150000,0,81900,308100,0,
0,150000,0,81900,308100,0,
0,149700,0,82200,308100,0,
0,138900,0,93000,308100,0,
0,138900,0,81600,319500,0,
0,139050,0,81750,319200,0,
0,139050,0,81750,319200,0,
0,149850,0,81750,308400,0,
0,149550,0,82050,308400,0,
0,149550,0,82050,308400,0,
