EXPECTATION,EXPECTATION,SIMPLE_RANGE_EXP_IMP,EXACT_RANGE_EXP,EXACT_RANGE_EXP
10000,10000,10000,10000,10000
14500,8500,10000,8500,8500
14500,8200,10300,8500,8500
14500,8200,10000,8800,8500
14500,8200,10000,8500,8800
14800,8200,10000,8500,8500
14500,8500,10000,8500,8500
14500,7600,10900,8500,8500
14500,7600,10600,8800,8500
14500,7600,10600,8500,8800
13900,7600,10600,8500,9400
13600,7900,10600,8500,9400
13600,6700,11800,8500,9400
13600,6700,11500,8800,9400
13600,6700,11500,8500,9700
13000,6700,11500,8500,10300
13900,5800,11500,8500,10300
13900,5500,11800,8500,10300
13900,5500,11500,8800,10300
13900,5500,11500,8500,10600
12400,5500,11500,10300,10300
12100,5800,11500,10300,10300
12100,5500,11800,10300,10300
12100,5500,10300,11800,10300
12100,5500,10300,11500,10600
12400,5500,10300,11500,10300
12100,5800,10300,11500,10300
12100,5500,10600,11500,10300
12100,5500,11200,10900,10300
12100,5500,11200,10600,10600
12400,5500,11200,10600,10300
12100,5800,11200,10600,10300
12100,6400,10600,10600,10300
12100,6400,10300,10900,10300
12100,6400,10300,10600,10600
12400,6400,10300,10600,10300
12100,6700,10300,10600,10300
12100,6400,10600,10600,10300
12100,6400,10300,10900,10300
12100,6400,10300,10600,10600
12400,6400,10300,10600,10300
12100,6700,10300,10600,10300
12100,7300,9700,10600,10300
12100,7300,9400,10900,10300
12100,7300,9400,10600,10600
12400,7300,9400,10600,10300
12100,7600,9400,10600,10300
12100,7300,9700,10600,10300
12100,7300,9400,10900,10300
12100,7300,10300,10600,9700
11500,7300,10300,10600,10300
13000,5800,10300,10600,10300
13000,5500,10600,10600,10300
13000,5500,10300,10900,10300
13000,5500,10300,10600,10600
13300,5500,10300,10600,10300
13000,5800,10300,10600,10300
13000,5500,10600,10600,10300
13000,5500,10300,10900,10300
11500,5500,10300,13600,9100
11800,5500,10300,13600,8800
12400,4900,10300,13600,8800
12400,4600,10600,13600,8800
12400,4600,10300,13900,8800
12400,4600,10300,13600,9100
11800,4600,10300,13600,9700
11500,4900,10300,13600,9700
11500,3700,11500,13600,9700
11500,3700,11200,13900,9700
11500,3700,11200,13300,10300
11800,3700,11200,13300,10000
11500,2500,12700,13300,10000
11500,1900,13300,13300,10000
11500,1900,13000,13600,10000
11500,1900,13000,13300,10300
11800,1900,13000,13300,10000
11500,2200,13000,13300,10000
11500,1900,13300,13300,10000
11500,1900,11800,12700,12100
11500,1900,11800,12400,12400
10000,1900,11800,12400,13900
9700,2200,11800,12400,13900
8200,1900,14500,11500,13900
8200,1900,14200,11800,13900
8200,1900,14200,11500,14200
8500,1900,14200,11500,13900
11200,700,14200,10000,13900
11200,400,14500,10000,13900
11200,400,13000,11500,13900
11200,400,13000,11200,14200
11500,400,13000,11200,13900
11200,400,13300,11200,13900
11200,100,13600,11200,13900
11200,100,13300,11500,13900
11200,100,13300,11200,14200
11500,100,13300,11200,13900
11200,100,13600,11200,13900
11200,100,13600,11200,13900
11200,100,13300,11500,13900
11200,100,13300,11200,14200
11500,100,13300,11200,13900
11200,100,13600,11200,13900
11200,100,13600,11200,13900
11200,100,13300,11500,13900
11200,100,13300,11200,14200
11500,100,13300,11200,13900
10900,100,13900,11200,13900
10900,100,13900,11200,13900
10900,100,13600,11500,13900
10900,100,13600,10900,14500
11200,100,13600,10900,14200
12400,100,12400,10900,14200
12400,100,12400,10900,14200
12400,100,12100,11200,14200
12400,100,12100,10900,14500
12700,100,12100,10900,14200
11500,100,13300,10900,14200
11500,100,13300,10900,14200
11500,100,13000,11200,14200
11500,100,13000,10900,14500
11800,100,13000,10900,14200
10900,100,13900,10900,14200
10900,100,13900,10900,14200
10900,100,15100,9700,14200
10900,100,15100,9400,14500
9400,100,15100,9400,16000
9100,100,15400,9400,16000
9100,100,15400,9400,16000
9100,100,15100,9700,16000
9100,100,15100,9400,16300
9400,100,15100,9400,16000
9100,100,15400,9400,16000
9100,100,15400,9400,16000
9100,100,16600,8200,16000
9100,100,16600,7900,16300
9400,100,16600,7900,16000
9100,100,16900,7900,16000
9100,100,16900,7900,16000
9100,100,16600,8200,16000
9100,100,16600,7900,16300
9400,100,16600,7900,16000
9100,100,16900,7900,16000
9100,100,16900,7900,16000
9100,100,17500,7300,16000
9100,100,17500,7900,15400
9400,100,17500,7900,15100
9100,100,17800,7900,15100
9100,100,17800,7900,15100
9100,100,17500,8200,15100
9100,100,17500,7600,15700
9400,100,17500,7600,15400
9100,100,17800,7600,15400
9100,100,17800,7600,15400
9100,100,17500,7900,15400
9100,100,17500,7600,15700
9400,100,17500,7600,15400
9100,100,17800,7600,15400
9100,100,17800,7600,15400
9100,100,17500,7900,15400
9100,100,17500,7600,15700
8500,100,17500,7600,16300
8200,100,17800,7600,16300
8200,100,17800,7600,16300
8200,100,17500,7900,16300
8200,100,17500,7600,16600
8800,100,17500,7600,16000
8200,100,18100,7600,16000
8200,100,18100,7600,16000
8200,100,18700,7000,16000
8200,100,18700,7600,15400
7600,100,18700,7600,16000
7300,100,19000,7600,16000
7300,100,19000,7600,16000
7300,100,18700,7900,16000
7300,100,18700,7300,16600
7600,100,18700,7300,16300
7000,100,19300,7300,16300
7000,100,19300,7300,16300
7000,100,19000,7600,16300
7000,100,19000,7300,16600
7300,100,19000,7300,16300
7000,100,19300,7300,16300
7000,100,19300,7300,16300
7000,100,19000,7600,16300
7000,100,19000,7300,16600
7300,100,19000,7300,16300
7000,100,19300,7300,16300
7000,100,19300,7300,16300
7000,100,19000,7600,16300
7000,100,19000,8200,15700
7600,100,19000,8200,15100
7300,100,19300,8200,15100
7300,100,19300,8200,15100
7300,100,19000,8500,15100
7300,100,19000,9100,14500
7600,100,19000,9100,14200
7300,100,19300,9100,14200
7300,100,19300,9100,14200
7300,100,19000,9400,14200
7300,100,19000,9100,14500
7600,100,19000,9100,14200
7300,100,19300,9100,14200
7300,100,19300,9100,14200
7300,100,20500,7900,14200
7300,100,20500,7600,14500
7600,100,20500,7600,14200
7300,100,20800,7600,14200
7300,100,20800,7600,14200
7300,100,19300,9100,14200
7300,100,19300,8800,14500
8800,100,19300,8800,13000
8500,100,19600,8800,13000
8500,100,19600,8800,13000
8500,100,19300,9100,13000
8500,100,19300,8800,13300
8800,100,19300,8800,13000
8200,100,19900,8800,13000
8200,100,19900,8800,13000
8200,100,19600,9100,13000
8200,100,19600,8800,13300
7600,100,19600,8800,13900
7300,100,19900,8800,13900
7300,100,19900,8800,13900
7300,100,19600,9100,13900
7300,100,19600,8800,14200
7600,100,19600,8800,13900
7300,100,19900,8800,13900
7300,100,19900,8800,13900
7300,100,19600,9100,13900
7300,100,19600,8800,14200
7600,100,19600,8800,13900
6400,100,18100,12700,12700
6400,100,18100,12700,12700
6400,100,17800,13000,12700
6400,100,17800,12700,13000
6700,100,17800,12700,12700
6400,100,18100,12700,12700
6400,100,18100,12700,12700
6400,100,17800,13000,12700
