EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP,
141600,102600,117300,0,169500,9000,
141600,102600,107700,0,179100,9000,
139800,104400,107700,0,179100,9000,
139800,104400,107700,0,178500,9600,
140400,104400,107700,0,178500,9000,
140700,103800,108000,0,178500,9000,
141900,103200,107400,0,178500,9000,
141900,103200,116700,0,169200,9000,
141900,103200,116700,0,169200,9000,
141900,103200,116700,0,168600,9600,
134100,103200,116700,0,160800,25200,
141900,95400,116700,0,160800,25200,
141900,55500,156600,0,160800,25200,
141900,55500,156000,0,160200,26400,
141900,55500,156000,0,160200,26400,
141900,55500,148200,0,168600,25800,
141300,55500,148200,0,168600,26400,
141900,54900,148200,0,168600,26400,
141900,70500,140400,0,168600,18600,
141900,70500,148200,0,160800,18600,
141900,70500,146400,0,162600,18600,
141900,70500,146400,0,151200,30000,
142500,70500,146400,0,151200,29400,
141900,64500,153000,0,151200,29400,
141900,63900,153600,0,151200,29400,
141900,65100,153000,0,150600,29400,
149100,57900,153000,0,150600,29400,
149100,57900,153000,0,150000,30000,
156900,57900,153000,0,150000,22200,
147300,57300,163200,0,150000,22200,
147300,56700,155400,0,150000,30600,
147300,56700,163200,0,142200,30600,
161700,56700,156000,0,142200,23400,
172500,56700,155400,0,132600,22800,
171900,56700,155400,0,132600,23400,
177900,50700,155400,0,132600,23400,
173700,55500,154800,0,132600,23400,
173700,62100,148800,0,132000,23400,
164700,62100,148800,0,132000,32400,
164700,62100,155400,0,126000,31800,
165000,62100,155400,0,125400,32100,
164400,62700,155400,0,125400,32100,
164400,56700,161400,0,125400,32100,
164400,56700,154500,0,135600,28800,
164400,56700,154500,0,135600,28800,
164400,56700,146700,0,135000,37200,
176400,56700,144300,0,135000,27600,
186000,47100,144300,0,135000,27600,
186000,52200,139200,0,135000,27600,
186000,52200,139800,0,134400,27600,
186000,52200,141600,0,134400,25800,
186000,52200,141600,0,136800,23400,
185400,52200,141600,0,136800,24000,
179400,58200,141600,0,136800,24000,
166800,57900,154500,0,136800,24000,
166800,59100,153900,0,136200,24000,
190200,59100,153900,0,125400,11400,
190200,59100,177900,0,112800,0,
190200,59100,177900,0,112800,0,
190200,59100,177900,0,112800,0,
189600,67500,170100,0,112800,0,
189600,68700,169500,0,112200,0,
189600,68700,169500,0,112200,0,
189000,68700,169500,0,112800,0,
189000,65100,169500,0,116400,0,
188400,65700,169500,0,116400,0,
188400,66300,168900,0,116400,0,
188400,66300,169500,0,115800,0,
188400,66300,169500,0,115800,0,
193200,66300,167100,0,113400,0,
193200,66300,167100,0,113400,0,
186300,73200,167100,0,113400,0,
186300,72600,167700,0,113400,0,
186300,72600,179100,0,102000,0,
186300,72600,179100,0,102000,0,
185700,72600,179100,0,102600,0,
185700,72600,179100,0,102600,0,
189900,68400,179100,0,102600,0,
189900,69000,178500,0,102600,0,
191100,69000,177900,0,102000,0,
191100,69000,177900,0,102000,0,
187800,69000,177900,0,105300,0,
187800,69000,177900,0,105300,0,
176400,68400,177900,0,117300,0,
176400,67800,178500,0,117300,0,
176400,72600,177900,0,113100,0,
176400,72600,169800,0,121200,0,
175800,72600,162900,0,128700,0,
172200,76200,162900,0,128700,0,
172800,75600,162900,0,128700,0,
172800,85800,152700,0,128700,0,
172800,85800,155100,0,126300,0,
172800,85800,155100,0,126300,0,
165000,85800,147300,0,141900,0,
165000,85800,147300,0,141900,0,
171000,79800,147300,0,141900,0,
171000,79200,147900,0,141900,0,
171000,79500,147300,0,142200,0,
185400,79500,147300,0,127800,0,
182100,79500,146700,0,131700,0,
182100,79500,146700,0,131700,0,
174300,87900,146100,0,131700,0,
166500,96300,145500,0,131700,0,
166500,97500,144900,0,131100,0,
166500,97500,144900,0,131100,0,
167100,97500,144900,0,130500,0,
167100,92100,150300,0,130500,0,
167700,91500,150300,0,130500,0,
167700,94800,147000,0,130500,0,
167700,94800,152700,0,124800,0,
162300,94800,158100,0,124800,0,
162900,94800,158100,0,124200,0,
171900,94800,158100,0,115200,0,
182100,94200,148500,0,115200,0,
182100,96300,146400,0,115200,0,
182100,96300,145800,0,115800,0,
182100,96300,142200,0,119400,0,
170700,96300,154200,0,118800,0,
170700,96300,152400,0,120600,0,
176700,90300,152400,0,120600,0,
176700,94500,148200,0,120600,0,
176100,94500,144000,0,125400,0,
176100,94500,144000,0,125400,0,
176700,94500,144000,0,124800,0,
176700,94500,144000,0,124800,0,
170700,84900,134400,0,150000,0,
170700,85500,133800,0,150000,0,
170700,85500,133200,0,150600,0,
192300,74700,122400,0,150600,0,
204300,74700,121800,0,139200,0,
211500,74700,121800,0,132000,0,
210900,75300,121800,0,132000,0,
210900,74700,122400,0,132000,0,
210900,74700,121800,0,132600,0,
218100,74700,114600,0,132600,0,
225900,74700,114600,0,124800,0,
225900,74700,114600,0,124800,0,
226500,74100,114600,0,124800,0,
226500,66300,122400,0,124800,0,
226500,66300,130200,0,117000,0,
226500,66300,130200,0,117000,0,
225900,66300,130200,0,117600,0,
225900,66300,130200,0,117600,0,
220800,71400,130200,0,117600,0,
220800,79200,122400,0,117600,0,
220800,79200,123000,0,117000,0,
220800,79200,123000,0,117000,0,
209400,79200,145800,0,105600,0,
220200,75600,138600,0,105600,0,
220800,75000,138600,0,105600,0,
220800,67200,146400,0,105600,0,
220800,67200,146400,0,105600,0,
220800,67200,146400,0,105600,0,
221400,67200,146400,0,105000,0,
221400,67200,146400,0,105000,0,
220800,67800,146400,0,105000,0,
220800,68400,145800,0,105000,0,
220800,68400,151800,0,99000,0,
219000,63000,146400,0,111600,0,
221400,63000,146400,0,109200,0,
221400,63000,146400,0,109200,0,
220800,124500,146400,0,48300,0,
220800,124500,146400,0,48300,0,
220800,124500,150600,0,44100,0,
220800,124500,150600,0,44100,0,
231000,114900,150600,0,43500,0,
231000,114900,150600,0,43500,0,
239400,114300,150600,0,35700,0,
239400,114900,150000,0,35700,0,
239400,114900,149400,0,36300,0,
239400,114900,149400,0,36300,0,
240000,114900,149400,0,35700,0,
240000,114900,149400,0,35700,0,
247500,107400,149400,0,35700,0,
246900,103200,154200,0,35700,0,
246900,95400,164400,0,33300,0,
246900,95400,166200,0,31500,0,
246300,95400,167400,0,30900,0,
246300,95400,167400,0,30900,0,
249300,94800,165000,0,30900,0,
249300,94800,165000,0,30900,0,
249300,94800,162600,0,33300,0,
258300,94800,153600,0,33300,0,
258900,94800,153600,0,32700,0,
284100,94800,141000,0,20100,0,
291600,87300,141000,0,20100,0,
291600,86700,141600,0,20100,0,
291600,87900,141000,0,19500,0,
291600,87900,141000,0,19500,0,
285600,87900,141000,0,25500,0,
285600,87900,141000,0,25500,0,
285000,78300,141000,0,35700,0,
285000,72300,147000,0,35700,0,
285000,72300,147600,0,35100,0,
285000,72300,147600,0,35100,0,
289200,72300,147600,0,30900,0,
289200,72300,147600,0,30900,0,
289800,71700,147600,0,30900,0,
283800,78300,147000,0,30900,0,
283800,78300,147600,0,30300,0,
283800,78300,143100,0,34800,0,
276900,78300,143100,0,41700,0,
276900,78300,143100,0,41700,0,
276300,77700,144300,0,41700,0,
276300,78300,143700,0,41700,0,
276300,78300,141300,0,44100,0,
276300,78300,141300,0,44100,0,
270300,78300,141300,0,50100,0,
270300,78300,141300,0,50100,0,
263400,85200,141300,0,50100,0,
263400,85800,140700,0,50100,0,
263400,85800,140100,0,50700,0,
265200,84000,140100,0,50700,0,
271200,84000,140100,0,44700,0,
271200,84000,140100,0,44700,0,
270600,93300,131400,0,44700,0,
274500,93000,127800,0,44700,0,
274500,93000,128400,0,44100,0,
274500,93000,128400,0,44100,0,
275100,93000,128400,0,43500,0,
287700,93000,115800,0,43500,0,
288300,92400,115800,0,43500,0,
288300,91800,116400,0,43500,0,
288300,91800,116400,0,43500,0,
308100,91800,106500,0,33600,0,
308700,91800,106500,0,33000,0,
314100,86400,106500,0,33000,0,
313500,87000,106500,0,33000,0,
313500,86400,107100,0,33000,0,
313500,86400,106500,0,33600,0,
318900,81000,106500,0,33600,0,
318300,81000,99600,0,41100,0,
318300,81000,99600,0,41100,0,
318900,80400,99600,0,41100,0,
318900,88200,91800,0,41100,0,
318900,89400,91200,0,40500,0,
318900,89400,93000,0,38700,0,
319500,89400,93000,0,38100,0,
319500,89400,93000,0,38100,0,
323700,85200,93000,0,38100,0,
323100,73800,105000,0,38100,0,
323100,73800,105600,0,37500,0,
323100,73800,105600,0,37500,0,
322500,73800,69000,0,74700,0,
322500,73800,69000,0,74700,0,
320100,76200,69000,0,74700,0,
320100,72000,73200,0,74700,0,
320100,72000,67200,0,80700,0,
320100,72000,67200,0,80700,0,
319500,72000,67200,0,81300,0,
319500,72000,67200,0,81300,0,
320100,71400,67200,0,81300,0,
320100,80100,58500,0,81300,0,
320100,73200,51600,0,95100,0,
330900,73200,40800,0,95100,0,
330300,73200,40800,0,95700,0,
330300,78600,35400,0,95700,0,
339900,69000,35400,0,95700,0,
339900,76800,27600,0,95700,0,
339900,76800,30000,0,93300,0,
339900,76800,22800,0,100500,0,
339300,76800,22800,0,101100,0,
339300,76800,28200,0,95700,0,
338700,74400,31200,0,95700,0,
338700,66600,39000,0,95700,0,
338700,66600,39600,0,95100,0,
338700,66600,34200,0,100500,0,
331200,66600,34200,0,108000,0,
331200,66600,34200,0,108000,0,
330600,66000,35400,0,108000,0,
337800,65400,29400,0,107400,0,
337800,75600,19800,0,106800,0,
337800,75600,19800,0,106800,0,
337200,75600,15600,0,111600,0,
337200,75600,12000,0,115200,0,
331200,73200,12000,0,123600,0,
331200,72600,600,0,135600,0,
331200,72600,1200,0,135000,0,
331200,72600,1200,0,135000,0,
334800,72600,3600,0,129000,0,
334800,72600,3600,0,129000,0,
335400,72000,3600,0,129000,0,
335400,72600,3000,0,129000,0,
335400,72600,2400,0,129600,0,
335400,72600,2400,0,129600,0,
336000,72600,2400,0,129000,0,
336000,72600,2400,0,129000,0,
335400,73200,2400,0,129000,0,
335400,72600,3000,0,129000,0,
335400,77400,2400,0,124800,0,
335400,77400,0,0,127200,0,
334800,77400,0,0,127800,0,
334800,77400,0,0,127800,0,
334200,78000,0,0,127800,0,
334200,77400,0,0,128400,0,
334200,72000,0,0,133800,0,
337800,72000,0,0,130200,0,
337200,73200,0,0,129600,0,
337200,73200,0,0,129600,0,
336900,67800,0,0,135300,0,
336900,70200,0,0,132900,0,
336900,63000,0,0,140100,0,
336900,63000,0,0,140100,0,
336300,64200,0,0,139500,0,
336300,64200,0,0,139500,0,
355500,54600,0,0,129900,0,
355500,54000,0,0,130500,0,
362700,46800,0,0,130500,0,
362700,46800,0,0,130500,0,
363300,46800,0,0,129900,0,
358800,45000,0,0,136200,0,
359400,44400,0,0,136200,0,
359400,43800,0,0,136800,0,
359400,43800,0,0,136800,0,
357600,43800,0,0,138600,0,
357000,43200,0,0,139800,0,
357000,43200,0,0,139800,0,
356400,43800,0,0,139800,0,
356400,48000,0,0,135600,0,
356400,42600,0,0,141000,0,
356400,42600,0,0,141000,0,
350400,42600,0,0,147000,0,
350400,42600,0,0,147000,0,
351000,42000,0,0,147000,0,
351000,36000,0,0,153000,0,
351000,43200,0,0,145800,0,
351000,45000,0,0,144000,0,
350400,45000,0,0,144600,0,
350400,45000,0,0,144600,0,
349800,45600,0,0,144600,0,
351000,45000,0,0,144000,0,
351000,45000,0,0,144000,0,
351000,45000,0,0,144000,0,
350400,37200,0,0,152400,0,
357600,37200,0,0,145200,0,
354300,41100,0,0,144600,0,
354300,41700,0,0,144000,0,
312000,38100,0,0,189900,0,
312000,38100,0,0,189900,0,
319800,38100,0,0,182100,0,
319800,41700,0,0,178500,0,
319200,42900,0,0,177900,0,
319200,42300,0,0,178500,0,
313800,42300,0,0,183900,0,
313800,42300,0,0,183900,0,
314400,42300,0,0,183300,0,
314400,42300,0,0,183300,0,
318600,38100,0,0,183300,0,
311700,51900,0,0,176400,0,
311700,51900,0,0,176400,0,
300900,62700,0,0,176400,0,
310500,62700,0,0,166800,0,
310500,62700,0,0,166800,0,
311100,62100,0,0,166800,0,
310500,57900,0,0,171600,0,
310500,57900,0,0,171600,0,
310500,59700,0,0,169800,0,
321900,59700,0,0,158400,0,
321900,59700,0,0,158400,0,
321300,60300,0,0,158400,0,
322500,59700,0,0,157800,0,
331500,59700,0,0,148800,0,
331500,59700,0,0,148800,0,
329100,59700,0,0,151200,0,
336300,59700,0,0,144000,0,
336900,59100,0,0,144000,0,
336900,58500,0,0,144600,0,
342300,56700,0,0,141000,0,
345900,54900,0,0,139200,0,
350100,54900,0,0,135000,0,
353700,51300,0,0,135000,0,
354300,50700,0,0,135000,0,
346500,50100,0,0,143400,0,
346500,99600,0,0,93900,0,
346500,101400,0,0,92100,0,
346500,101400,0,0,92100,0,
346500,101400,0,0,92100,0,
337200,110700,0,0,92100,0,
337200,111300,0,0,91500,0,
337200,111300,0,0,91500,0,
337200,111300,0,0,91500,0,
336600,117900,0,0,85500,0,
336600,107100,0,0,96300,0,
336000,106500,0,0,97500,0,
336000,100500,0,0,103500,0,
336000,100500,0,0,103500,0,
336000,100500,0,0,103500,0,
337200,99900,0,0,102900,0,
337200,96300,0,0,106500,0,
337800,95700,0,0,106500,0,
337200,87900,0,0,114900,0,
381150,0,0,0,158850,0,
222300,0,0,0,317700,0,
222900,0,0,0,317100,0,
222900,0,0,0,317100,0,
222300,0,0,0,317700,0,
222300,0,0,0,317700,0,
222300,0,0,0,317700,0,
222300,0,0,0,317700,0,
216300,0,0,0,323700,0,
219900,0,0,0,320100,0,
217500,0,0,0,322500,0,
219300,0,0,0,320700,0,
221100,0,0,0,318900,0,
221100,0,0,0,318900,0,
442200,0,0,0,97800,0,
442200,0,0,0,97800,0,
430800,0,0,0,109200,0,
430800,0,0,0,109200,0,
430800,0,0,0,109200,0,
430800,0,0,0,109200,0,
430200,0,0,0,109800,0,
430200,0,0,0,109800,0,
429600,0,0,0,110400,0,
429600,0,0,0,110400,0,
424200,0,0,0,115800,0,
424200,0,0,0,115800,0,
417300,0,0,0,122700,0,
428100,0,0,0,111900,0,
428700,0,0,0,111300,0,
428700,0,0,0,111300,0,
428700,0,0,0,111300,0,
428700,0,0,0,111300,0,
422700,0,0,0,117300,0,
422700,0,0,0,117300,0,
422100,0,0,0,117900,0,
429300,0,0,0,110700,0,
429300,0,0,0,110700,0,
429300,0,0,0,110700,0,
426900,0,0,0,113100,0,
426900,0,0,0,113100,0,
436500,0,0,0,103500,0,
436500,0,0,0,103500,0,
434700,0,0,0,105300,0,
434700,0,0,0,105300,0,
430500,0,0,0,109500,0,
430500,0,0,0,109500,0,
426300,0,0,0,113700,0,
426300,0,0,0,113700,0,
426300,0,0,0,113700,0,
426300,0,0,0,113700,0,
426300,0,0,0,113700,0,
426300,0,0,0,113700,0,
426900,0,0,0,113100,0,
426900,0,0,0,113100,0,
426900,0,0,0,113100,0,
426900,0,0,0,113100,0,
427500,0,0,0,112500,0,
427500,0,0,0,112500,0,
425100,0,0,0,114900,0,
425100,0,0,0,114900,0,
425100,0,0,0,114900,0,
425100,0,0,0,114900,0,
425700,0,0,0,114300,0,
416700,0,0,0,123300,0,
417300,0,0,0,122700,0,
417300,0,0,0,122700,0,
417300,0,0,0,122700,0,
417300,0,0,0,122700,0,
411300,0,0,0,128700,0,
411300,0,0,0,128700,0,
419100,0,0,0,120900,0,
419100,0,0,0,120900,0,
419100,0,0,0,120900,0,
419100,0,0,0,120900,0,
419700,0,0,0,120300,0,
419700,0,0,0,120300,0,
419100,0,0,0,120900,0,
419100,0,0,0,120900,0,
419100,0,0,0,120900,0,
419100,0,0,0,120900,0,
412200,0,0,0,127800,0,
412200,0,0,0,127800,0,
420000,0,0,0,120000,0,
420000,0,0,0,120000,0,
420000,0,0,0,120000,0,
417300,0,0,0,122700,0,
417900,0,0,0,122100,0,
426900,0,0,0,113100,0,
426300,0,0,0,113700,0,
418200,0,0,0,121800,0,
410100,0,0,0,129900,0,
417300,0,0,0,122700,0,
417900,0,0,0,122100,0,
417900,0,0,0,122100,0,
420300,0,0,0,119700,0,
414000,0,0,0,126000,0,
414000,0,0,0,126000,0,
423000,0,0,0,117000,0,
422400,0,0,0,117600,0,
436800,0,0,0,103200,0,
436200,0,0,0,103800,0,
436200,0,0,0,103800,0,
436200,0,0,0,103800,0,
430800,0,0,0,109200,0,
430200,0,0,0,109800,0,
439200,0,0,0,100800,0,
438600,0,0,0,101400,0,
438600,0,0,0,101400,0,
438600,0,0,0,101400,0,
438600,0,0,0,101400,0,
439200,0,0,0,100800,0,
439200,0,0,0,100800,0,
439800,0,0,0,100200,0,
434400,0,0,0,105600,0,
432600,0,0,0,107400,0,
432600,0,0,0,107400,0,
432000,0,0,0,108000,0,
430200,0,0,0,109800,0,
429600,0,0,0,110400,0,
429600,0,0,0,110400,0,
429600,0,0,0,110400,0,
321600,0,0,0,218400,0,
331200,0,0,0,208800,0,
333000,0,0,0,207000,0,
325200,0,0,0,214800,0,
325200,0,0,0,214800,0,
325200,0,0,0,214800,0,
325200,0,0,0,214800,0,
325800,0,0,0,214200,0,
325800,0,0,0,214200,0,
317100,0,0,0,222900,0,
317100,0,0,0,222900,0,
317100,0,0,0,222900,0,
327900,0,0,0,212100,0,
327900,0,0,0,212100,0,
327900,0,0,0,212100,0,
333900,0,0,0,206100,0,
333900,0,0,0,206100,0,
330300,0,0,0,209700,0,
324000,0,0,0,216000,0,
108300,0,0,0,431700,0,
108300,0,0,0,431700,0,
119400,0,0,0,420600,0,
114000,0,0,0,426000,0,
105900,0,0,0,434100,0,
105900,0,0,0,434100,0,
99900,0,0,0,440100,0,
99900,0,0,0,440100,0,
107400,0,0,0,432600,0,
107400,0,0,0,432600,0,
107400,0,0,0,432600,0,
109200,0,0,0,430800,0,
117000,0,0,0,423000,0,
117000,0,0,0,423000,0,
116400,0,0,0,423600,0,
108300,0,0,0,431700,0,
108300,0,0,0,431700,0,
108300,0,0,0,431700,0,
108900,0,0,0,431100,0,
103500,0,0,0,436500,0,
104100,0,0,0,435900,0,
0,0,0,0,540000,0,
