EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_16_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_16_FLOP_EX_LIMIT,EXACT_RANGE_EXP_16_FLOP_EX_LIMIT,
90000,90000,90000,90000,90000,90000,
89700,90300,90000,90000,90000,90000,
89700,90000,89400,90000,90900,90000,
89700,90000,89100,89400,90300,91500,
81900,90000,89100,101400,86100,91500,
81900,90000,89100,101400,98700,78900,
77100,90000,89100,101400,98700,83700,
76800,70200,69300,101400,148800,73500,
77700,69900,68700,101400,148800,73500,
77700,69900,84300,100800,148800,58500,
67500,69900,95400,100500,148200,58500,
67500,62100,95400,100500,147900,66600,
67800,62100,95400,100500,147900,66300,
67500,61500,95400,101400,147900,66300,
67500,61200,94800,101400,147900,67200,
57300,82500,94500,100800,147900,57000,
57300,82500,94500,100500,158400,46800,
56700,82500,79500,100500,186600,34200,
57000,82500,79500,100500,186600,33900,
56700,77100,79500,100500,192300,33900,
56700,77700,78900,100500,192300,33900,
56700,77700,78300,120900,172500,33900,
83400,65100,77700,120600,171900,21300,
83400,65100,77100,120600,171600,22200,
93900,65100,77100,120600,161400,21900,
94500,64500,77100,120600,161400,21900,
94500,65100,76500,120600,161400,21900,
99000,65100,76200,116400,161400,21900,
99000,65100,66000,116100,160800,33000,
99000,50100,66000,116100,160200,48600,
99300,50100,66000,116100,160200,48300,
89100,75300,65400,116100,146400,47700,
89100,75000,65700,116100,146400,47700,
114300,75000,53100,103500,146400,47700,
122400,75000,53100,103200,139200,47100,
122400,75000,53100,103200,138900,47400,
126900,75000,57600,103200,138900,38400,
126600,69600,63300,103200,138900,38400,
126600,74400,62700,99000,138900,38400,
126600,74400,67500,94200,138900,38400,
126600,74400,67500,94800,138300,38400,
126000,74400,69000,94800,138000,37800,
126000,74400,69000,94800,138000,37800,
125700,74700,69000,94800,138000,37800,
126600,74400,68400,94800,138000,37800,
126600,74400,69000,94200,138000,37800,
126600,64800,68400,105000,137400,37800,
126600,64800,68400,105000,138000,37200,
126000,57000,68400,113700,138000,36900,
125700,57300,68400,113700,138000,36900,
125700,57900,67800,113700,138000,36900,
125700,57900,81000,113100,125400,36900,
125700,57900,81000,112800,125700,36900,
126900,57900,81000,112800,125100,36300,
165600,39300,62400,112200,124500,36000,
155400,38700,62400,112200,135300,36000,
155400,38400,61800,112200,136200,36000,
155400,28800,61500,122100,136200,36000,
155400,28800,62700,121500,135600,36000,
155400,28800,78300,121500,120600,35400,
165600,28800,78300,121500,120000,25800,
165300,29100,78300,121500,120000,25800,
165300,28500,78900,121500,120000,25800,
165300,28500,86700,113700,120000,25800,
165300,23100,86700,113400,125700,25800,
180300,15900,86700,113400,118500,25200,
179700,15300,86700,113400,103500,41400,
179400,19800,86700,113400,99300,41400,
192300,19500,74100,113400,99300,41400,
179700,33000,73800,112800,99300,41400,
179100,32400,64200,124200,98700,41400,
179100,32400,65100,124200,98400,40800,
168900,32400,75600,124200,98400,40500,
149100,72000,75600,124200,78600,40500,
149100,81600,66000,124200,78600,40500,
149100,81600,73800,116400,78600,40500,
149100,81000,73800,115800,79800,40500,
149100,81000,73800,115800,74400,45900,
140100,81000,73800,120450,79050,45600,
140700,80400,73800,120450,79050,45600,
140700,67200,73200,134250,79050,45600,
140700,66600,67200,140850,79050,45600,
140100,66000,52200,140550,64050,77100,
140100,66000,52200,140550,63450,77700,
132300,66000,52200,140550,63450,85500,
132900,65400,52200,140550,63450,85500,
132900,64800,52800,140550,63450,85500,
132900,64800,52500,139950,63450,86400,
132900,64800,52500,139650,63750,86400,
132900,57000,44700,163350,63450,78600,
132300,57000,44700,160950,66750,78300,
132000,61500,40500,160950,66750,78300,
132000,51300,80700,145950,66750,63300,
132000,51300,80100,146550,66750,63300,
132000,51300,80100,146250,67050,63300,
132000,51300,80100,146250,66450,63900,
131400,51300,81600,146250,65850,63600,
137400,45300,81600,146250,65850,63600,
137400,45000,81000,147750,65250,63600,
137400,45000,80700,148050,65250,63600,
137400,45000,80700,152850,60450,63600,
136800,45000,80700,171150,60150,46200,
136200,45000,80700,171150,60150,46800,
135900,45300,80700,171150,60150,46800,
135900,45000,88800,171150,60150,39000,
135900,53400,88200,163350,60150,39000,
124500,53400,88200,175350,59550,39000,
124500,43200,88200,175350,70350,38400,
124800,43200,88200,175350,70350,38100,
122400,45600,88200,175350,70350,38100,
122400,45300,88500,175350,70350,38100,
122400,44700,88200,174750,71850,38100,
126000,42300,88200,174150,71250,38100,
126000,42300,88200,175050,70950,37500,
125400,42300,88200,175950,70950,37200,
135000,32700,88200,175950,70950,37200,
135000,33300,87600,175950,70950,37200,
136200,33300,87000,175350,70950,37200,
136200,33300,87000,175050,71250,37200,
136200,33300,87000,185550,70950,27000,
135600,33300,74400,185550,58350,52800,
145200,23700,74400,185550,58350,52800,
145200,23400,74700,185550,58350,52800,
145200,23400,68700,191550,58350,52800,
145200,23400,68700,191250,58650,52800,
146100,23400,68700,191250,58350,52200,
135900,23400,68700,191250,58350,62400,
135600,22800,68700,166650,83850,62400,
135600,22500,76800,166650,83850,54600,
135600,22500,77400,166050,83850,54600,
135600,22500,77400,165750,84150,54600,
135600,22500,77400,165750,84750,54000,
135900,22500,77400,165750,84750,53700,
135600,22800,77400,165750,84750,53700,
135600,22500,77700,165750,84750,53700,
135600,22500,77400,153150,84750,66600,
136800,22500,77400,152550,84150,66600,
136800,22500,76800,154350,83550,66000,
132600,31200,76800,154350,79350,65700,
130200,33600,76800,154350,79350,65700,
122400,33300,84900,154350,79350,65700,
122400,33300,84600,154650,79350,65700,
122400,33300,84000,185250,78750,36300,
142800,33300,84000,185250,78150,16500,
142200,34800,83400,185250,78150,16200,
148800,28800,83400,184650,78150,16200,
153300,28500,82800,184650,74550,16200,
153300,28500,82500,184950,74550,16200,
153300,28500,98700,184350,61950,13200,
153300,28500,90900,184350,70350,12600,
152700,27900,90900,184350,79350,4800,
152400,27300,90900,184350,79350,5700,
152400,26700,87900,184350,82950,5700,
144600,26100,87600,183750,92250,5700,
144000,26100,87000,183450,93750,5700,
144000,26100,87900,183450,93450,5100,
143400,26100,87900,183450,94350,4800,
148800,25500,87900,183450,94350,0,
148800,25200,88200,183450,94350,0,
148800,22800,66600,161850,139950,0,
148800,22800,66600,161550,140250,0,
160800,22800,66600,150150,139650,0,
160800,22800,66600,150150,139650,0,
160800,22800,66600,150150,139650,0,
160800,22500,66000,150150,140550,0,
161700,22500,65700,149550,140550,0,
161700,21900,65700,148950,141750,0,
161100,21900,65700,149850,141450,0,
161100,21900,68100,149850,139050,0,
161700,21300,68100,149850,139050,0,
161700,21000,68400,149850,139050,0,
161700,21000,73800,144450,139050,0,
162600,21000,73800,144150,138450,0,
154800,21000,66000,144150,154050,0,
154800,21000,66000,144150,154050,0,
154500,20400,66900,144150,154050,0,
154500,19800,67500,144150,154050,0,
154500,0,67200,143550,174750,0,
154500,0,67200,143250,175050,0,
153900,0,67200,144150,174750,0,
153900,0,67200,144150,174750,0,
164100,0,57000,144150,174750,0,
164100,0,64200,144150,167550,0,
168600,0,63900,139950,167550,0,
168600,0,63900,140550,166950,0,
168900,0,63900,140550,166650,0,
168900,0,73500,135750,161850,0,
173700,0,72900,135750,157650,0,
173700,0,72900,135750,157650,0,
173700,0,55500,153150,157650,0,
158700,0,55500,152850,172950,0,
158100,0,55500,153150,173250,0,
138900,0,74700,153150,173250,0,
139500,0,74100,153150,173250,0,
139500,0,74100,145950,180450,0,
139500,0,89100,130950,180450,0,
139500,0,78900,141750,179850,0,
138900,0,78900,141750,180450,0,
138900,0,81300,139350,180450,0,
