EXACT_RANGE_EXP,EXACT_RANGE_EXP_6,EXACT_RANGE,EXACT_RANGE_EXP,EXACT_RANGE_EXP_6,
21700,250,100,21250,6700,
21100,250,100,20650,7900,
21100,250,100,20650,7900,
21100,250,100,20650,7900,
21100,250,100,20050,8500,
20500,250,100,20050,9100,
21100,250,100,19450,9100,
21100,250,100,19450,9100,
21100,250,100,19450,9100,
21100,250,100,20050,8500,
21700,250,100,20050,7900,
21100,250,100,20650,7900,
21100,250,100,20650,7900,
21100,250,100,20650,7900,
21100,250,100,20050,8500,
20500,250,100,19450,9700,
21100,250,100,18850,9700,
21100,250,100,18850,9700,
21100,250,100,18850,9700,
21100,250,100,19450,9100,
21700,250,100,19450,8500,
21100,250,100,20050,8500,
21100,250,100,20050,8500,
21100,250,100,20050,8500,
21100,250,100,20650,7900,
20500,250,100,21850,7300,
21100,250,100,21250,7300,
21100,250,100,21250,7300,
21100,250,100,21250,7300,
20500,250,100,20650,8500,
21100,250,100,20650,7900,
21700,250,100,20050,7900,
21700,250,100,20050,7900,
21700,250,100,20050,7900,
22900,250,100,19450,7300,
23500,250,100,19450,6700,
24100,250,100,18850,6700,
24100,250,100,18850,6700,
24100,250,100,18850,6700,
24100,250,100,18250,7300,
24700,250,100,18250,6700,
24100,250,100,18850,6700,
24100,250,100,18850,6700,
24100,250,100,18850,6700,
24100,250,100,18250,7300,
23500,250,100,18250,7900,
22900,250,100,17650,9100,
22900,250,100,17650,9100,
22900,250,100,17650,9100,
22300,250,100,17050,10300,
22900,250,100,17050,9700,
22300,250,100,17650,9700,
22300,250,100,17650,9700,
22300,250,100,17650,9700,
22300,250,100,17650,9700,
21700,250,100,17650,10300,
21100,250,100,18250,10300,
21100,250,100,18250,10300,
21100,250,100,18250,10300,
21100,250,100,18850,9700,
22300,250,100,18250,9100,
22900,250,100,17650,9100,
22900,250,100,17650,9100,
22900,250,100,17650,9100,
22900,250,100,17050,9700,
22300,250,100,18250,9100,
21700,250,100,18850,9100,
21700,250,100,18850,9100,
21700,250,100,18850,9100,
21700,250,100,18250,9700,
21100,250,100,18250,10300,
21700,250,100,17650,10300,
21700,250,100,17650,10300,
21700,250,100,17650,10300,
21700,250,100,17050,10900,
22300,250,100,17050,10300,
22900,250,100,16450,10300,
22900,250,100,16450,10300,
22900,250,100,16450,10300,
22900,250,100,15850,10900,
22300,250,100,15850,11500,
22900,250,100,15250,11500,
22900,250,100,15250,11500,
22900,250,100,15250,11500,
24100,250,100,14650,10900,
23500,250,100,14650,11500,
24100,250,100,14050,11500,
24100,250,100,14050,11500,
24100,250,100,14050,11500,
25300,250,100,13450,10900,
24700,250,100,14650,10300,
25300,250,100,14050,10300,
25300,250,100,14050,10300,
25300,250,100,14050,10300,
24700,250,100,13450,11500,
24100,250,100,13450,12100,
24700,250,100,12850,12100,
24700,250,100,12850,12100,
24700,250,100,12850,12100,
24700,250,100,13450,11500,
25300,250,100,13450,10900,
24700,250,100,14050,10900,
24700,250,100,14050,10900,
24700,250,100,14050,10900,
24700,250,100,14050,10900,
25300,250,100,14050,10300,
24700,250,100,14650,10300,
24700,250,100,14650,10300,
24700,250,100,14650,10300,
24100,250,100,14050,11500,
24700,250,100,14050,10900,
25900,250,100,13450,10300,
25900,250,100,13450,10300,
25900,250,100,13450,10300,
25300,250,100,14650,9700,
24700,250,100,14050,10900,
24100,250,100,14650,10900,
24100,250,100,14650,10900,
24100,250,100,14650,10900,
25300,250,100,14050,10300,
24700,250,100,14050,10900,
24100,250,100,14650,10900,
24100,250,100,14650,10900,
24100,250,100,14650,10900,
24100,250,100,14050,11500,
25300,250,100,13450,10900,
24700,250,100,14050,10900,
24700,250,100,14050,10900,
24700,250,100,14050,10900,
24100,250,100,13450,12100,
24700,250,100,13450,11500,
25300,250,100,12850,11500,
25300,250,100,12850,11500,
25300,250,100,12850,11500,
25300,250,100,13450,10900,
24700,250,100,13450,11500,
25300,250,100,12850,11500,
25300,250,100,12850,11500,
25300,250,100,12850,11500,
25300,250,100,13450,10900,
24700,250,100,13450,11500,
24100,250,100,14050,11500,
24100,250,100,14050,11500,
24100,250,100,14050,11500,
24100,250,100,14650,10900,
23500,250,100,14650,11500,
24100,250,100,14050,11500,
24100,250,100,14050,11500,
24100,250,100,14050,11500,
24100,250,100,14650,10900,
24700,250,100,14650,10300,
24100,250,100,15250,10300,
24100,250,100,15250,10300,
24100,250,100,15250,10300,
24100,250,100,14650,10900,
24700,250,100,14650,10300,
24100,250,100,15250,10300,
24100,250,100,15250,10300,
24100,250,100,15250,10300,
25300,250,100,14650,9700,
25900,250,100,14650,9100,
26500,250,100,14050,9100,
26500,250,100,14050,9100,
26500,250,100,14050,9100,
26500,250,100,14650,8500,
25900,250,100,15850,7900,
25300,250,100,16450,7900,
25300,250,100,16450,7900,
25300,250,100,16450,7900,
26500,250,100,15850,7300,
26500,250,100,15850,7300,
25900,250,100,16450,7300,
25900,250,100,16450,7300,
25900,250,100,16450,7300,
27100,250,100,15850,6700,
27700,250,100,15850,6100,
27100,250,100,16450,6100,
27100,250,100,16450,6100,
27100,250,100,16450,6100,
26500,250,100,17650,5500,
25900,250,100,17650,6100,
25300,250,100,18250,6100,
25300,250,100,18250,6100,
25300,250,100,18250,6100,
24700,250,100,17650,7300,
24100,250,100,17050,8500,
24700,250,100,16450,8500,
24700,250,100,16450,8500,
24700,250,100,16450,8500,
24700,250,100,15850,9100,
24100,250,100,15850,9700,
24700,250,100,15250,9700,
24700,250,100,15250,9700,
24700,250,100,15250,9700,
24700,250,100,14650,10300,
25000,250,100,14050,10600,
25600,250,100,13450,10600,
25600,250,100,13450,10600,
25600,250,100,13450,10600,
25600,250,100,14050,10000,
25000,250,100,14050,10600,
25600,250,100,13450,10600,
25600,250,100,13450,10600,
25600,250,100,13450,10600,
25600,250,100,13450,10600,
26200,250,100,13450,10000,
26800,250,100,12850,10000,
26800,250,100,12850,10000,
26800,250,100,12850,10000,
26800,250,100,12250,10600,
26200,250,100,12250,11200,
27400,250,100,11650,10600,
27400,250,100,11650,10600,
27400,250,100,11650,10600,
27400,250,100,11050,11200,
26800,250,100,11050,11800,
26200,250,100,11650,11800,
26200,250,100,11650,11800,
26200,250,100,11650,11800,
27400,250,100,11050,11200,
26800,250,100,11050,11800,
27400,250,100,10450,11800,
27400,250,100,10450,11800,
27400,250,100,10450,11800,
26800,250,100,11650,11200,
28000,250,100,11050,10600,
28000,250,100,11050,10600,
28000,250,100,11050,10600,
28000,250,100,11050,10600,
28000,250,100,10450,11200,
29200,250,100,9850,10600,
29800,250,100,9250,10600,
29800,250,100,9250,10600,
29800,250,100,9250,10600,
29800,250,100,8650,11200,
31000,250,100,8050,10600,
31600,250,100,7450,10600,
31600,250,100,7450,10600,
31600,250,100,7450,10600,
31600,250,100,8050,10000,
32200,250,100,8050,9400,
31600,250,100,8650,9400,
31600,250,100,8650,9400,
31600,250,100,8650,9400,
31000,250,100,9850,8800,
31600,250,100,9850,8200,
31000,250,100,10450,8200,
31000,250,100,10450,8200,
31000,250,100,10450,8200,
31000,250,100,11050,7600,
31600,250,100,11050,7000,
32800,250,100,10450,6400,
32800,250,100,10450,6400,
32800,250,100,10450,6400,
32800,250,100,9850,7000,
32200,250,100,9850,7600,
31600,250,100,9250,8800,
31600,250,100,9250,8800,
31600,250,100,9250,8800,
31600,250,100,8650,9400,
31000,250,100,8650,10000,
30400,250,100,9250,10000,
30400,250,100,9250,10000,
30400,250,100,9250,10000,
30400,250,100,9850,9400,
29800,250,100,9850,10000,
29200,250,100,10450,10000,
29200,250,100,10450,10000,
29200,250,100,10450,10000,
29200,250,100,9850,10600,
28600,250,100,9850,11200,
29200,250,100,9250,11200,
29200,250,100,9250,11200,
29200,250,100,9250,11200,
29200,250,100,8650,11800,
28600,250,100,8650,12400,
29200,250,100,8050,12400,
29200,250,100,8050,12400,
29200,250,100,8050,12400,
28600,250,100,9250,11800,
28000,250,100,10450,11200,
27400,250,100,9850,12400,
27400,250,100,9850,12400,
27400,250,100,9850,12400,
27400,250,100,9250,13000,
26800,250,100,10450,12400,
27400,250,100,9850,12400,
27400,250,100,9850,12400,
27400,250,100,9850,12400,
27400,250,100,10450,11800,
26800,250,100,11650,11200,
26200,250,100,12250,11200,
26200,250,100,12250,11200,
26200,250,100,12250,11200,
25600,250,100,13450,10600,
25000,250,100,13450,11200,
25600,250,100,12850,11200,
25600,250,100,12850,11200,
25600,250,100,12850,11200,
25600,250,100,13450,10600,
25000,250,100,13450,11200,
24400,250,100,14050,11200,
24400,250,100,14050,11200,
24400,250,100,14050,11200,
23800,250,100,13450,12400,
25000,250,100,12850,11800,
24400,250,100,13450,11800,
24400,250,100,13450,11800,
24400,250,100,13450,11800,
23800,250,100,12850,13000,
23200,250,100,12850,13600,
23800,250,100,12250,13600,
23800,250,100,12250,13600,
23800,250,100,12250,13600,
23800,250,100,12850,13000,
23200,250,100,12850,13600,
24400,250,100,12250,13000,
24400,250,100,12250,13000,
24400,250,100,12250,13000,
24400,250,100,12850,12400,
25000,250,100,12850,11800,
25600,250,100,12250,11800,
25600,250,100,12250,11800,
25600,250,100,12250,11800,
26800,250,100,11650,11200,
26200,250,100,11650,11800,
25600,250,100,12850,11200,
25600,250,100,12850,11200,
25600,250,100,12850,11200,
25600,250,100,12250,11800,
26800,250,100,11650,11200,
26200,250,100,12250,11200,
26200,250,100,12250,11200,
26200,250,100,12250,11200,
26200,250,100,11650,11800,
27400,250,100,11050,11200,
28000,250,100,10450,11200,
28000,250,100,10450,11200,
28000,250,100,10450,11200,
27400,250,100,11650,10600,
26800,250,100,11050,11800,
28000,250,100,10450,11200,
28000,250,100,10450,11200,
28000,250,100,10450,11200,
28000,250,100,9850,11800,
28600,250,100,9850,11200,
28000,250,100,10450,11200,
28000,250,100,10450,11200,
28000,250,100,10450,11200,
28000,250,100,9850,11800,
27400,250,100,11050,11200,
26800,250,100,11650,11200,
26800,250,100,11650,11200,
26800,250,100,11650,11200,
26800,250,100,11050,11800,
27400,250,100,11050,11200,
28600,250,100,10450,10600,
28600,250,100,10450,10600,
28600,250,100,10450,10600,
28600,250,100,9850,11200,
28000,250,100,11050,10600,
27400,250,100,11650,10600,
27400,250,100,11650,10600,
27400,250,100,11650,10600,
26800,250,100,12850,10000,
26200,250,100,12250,11200,
25600,250,100,12850,11200,
25600,250,100,12850,11200,
25600,250,100,12850,11200,
26800,250,100,12250,10600,
26200,250,100,13450,10000,
25600,250,100,14050,10000,
25600,250,100,14050,10000,
25600,250,100,14050,10000,
25600,250,100,13450,10600,
25000,250,100,12850,11800,
25000,250,100,12850,11800,
25000,250,100,12850,11800,
25000,250,100,12850,11800,
26200,250,100,12250,11200,
25600,250,100,12250,11800,
25000,250,100,12550,12100,
25000,250,100,12550,12100,
25000,250,100,12550,12100,
25000,250,100,11950,12700,
25600,250,100,11950,12100,
26800,250,100,11350,11500,
26800,250,100,11350,11500,
26800,250,100,11350,11500,
26800,250,100,11950,10900,
26200,250,100,11950,11500,
26800,250,100,11350,11500,
26800,250,100,11350,11500,
26800,250,100,11350,11500,
26800,250,100,10750,12100,
27400,250,100,10750,11500,
28600,250,100,10150,10900,
28600,250,100,10150,10900,
28600,250,100,10150,10900,
28600,250,100,9550,11500,
29200,250,100,9550,10900,
28600,250,100,10750,10300,
28600,250,100,10750,10300,
28600,250,100,10750,10300,
28600,250,100,11350,9700,
28000,250,100,11350,10300,
28600,250,100,10750,10300,
28600,250,100,10750,10300,
28600,250,100,10750,10300,
28600,250,100,10150,10900,
28000,250,100,10150,11500,
28600,250,100,9550,11500,
28600,250,100,9550,11500,
28600,250,100,9550,11500,
28600,250,100,10150,10900,
28000,250,100,10150,11500,
28600,250,100,9550,11500,
28600,250,100,9550,11500,
28600,250,100,9550,11500,
28600,250,100,8950,12100,
28000,250,100,8950,12700,
27400,250,100,9550,12700,
27400,250,100,9550,12700,
27400,250,100,9550,12700,
26800,250,100,8950,13900,
26200,250,100,8950,14500,
25600,250,100,9550,14500,
25600,250,100,9550,14500,
25600,250,100,9550,14500,
25000,250,100,8950,15700,
25600,250,100,8950,15100,
26200,250,100,8350,15100,
26200,250,100,8350,15100,
26200,250,100,8350,15100,
26200,250,100,7750,15700,
26800,250,100,7750,15100,
26200,250,100,8350,15100,
26200,250,100,8350,15100,
26200,250,100,8350,15100,
26200,250,100,8950,14500,
26800,250,100,8950,13900,
27400,250,100,8350,13900,
27400,250,100,8350,13900,
27400,250,100,8350,13900,
28600,250,100,7750,13300,
28000,250,100,7150,14500,
27400,250,100,7750,14500,
27400,250,100,7750,14500,
27400,250,100,7750,14500,
27400,250,100,8350,13900,
26800,250,100,8350,14500,
26200,250,100,8950,14500,
26200,250,100,8950,14500,
26200,250,100,8950,14500,
26200,250,100,8350,15100,
25600,250,100,7750,16300,
25000,250,100,7150,17500,
25000,250,100,7150,17500,
25000,250,100,7150,17500,
24400,250,100,6550,18700,
23800,250,100,7750,18100,
23200,250,100,7150,19300,
23200,250,100,7150,19300,
23200,250,100,7150,19300,
23200,250,100,7750,18700,
22600,250,100,8950,18100,
22000,250,100,9550,18100,
22000,250,100,9550,18100,
22000,250,100,9550,18100,
22000,250,100,8950,18700,
22600,250,100,8950,18100,
23800,250,100,8350,17500,
23800,250,100,8350,17500,
23800,250,100,8350,17500,
25000,250,100,7750,16900,
25000,250,100,7750,16900,
24400,250,100,8350,16900,
24400,250,100,8350,16900,
24400,250,100,8350,16900,
24400,250,100,7750,17500,
25000,250,100,7750,16900,
25600,250,100,7150,16900,
25600,250,100,7150,16900,
25600,250,100,7150,16900,
25600,250,100,7750,16300,
26200,250,100,7750,15700,
25600,250,100,8950,15100,
25600,250,100,8950,15100,
25600,250,100,8950,15100,
25000,250,100,8350,16300,
25600,250,100,8350,15700,
26200,250,100,7750,15700,
26200,250,100,7750,15700,
26200,250,100,7750,15700,
26200,250,100,7150,16300,
25600,250,100,7150,16900,
25000,250,100,7750,16900,
25000,250,100,7750,16900,
25000,250,100,7750,16900,
25000,250,100,7150,17500,
24400,250,100,7150,18100,
25000,250,100,6550,18100,
25000,250,100,6550,18100,
25000,250,100,6550,18100,
24400,250,100,7750,17500,
23800,250,100,7750,18100,
24400,250,100,7150,18100,
24400,250,100,7150,18100,
24400,250,100,7150,18100,
24400,250,100,7750,17500,
25000,250,100,7750,16900,
24400,250,100,7150,18100,
24400,250,100,7150,18100,
24400,250,100,7150,18100,
24400,250,100,7750,17500,
23800,250,100,7750,18100,
23200,250,100,8350,18100,
23200,250,100,8350,18100,
23200,250,100,8350,18100,
23200,250,100,7750,18700,
23800,250,100,7750,18100,
24400,250,100,7150,18100,
24400,250,100,7150,18100,
24400,250,100,7150,18100,
24400,250,100,7750,17500,
23800,250,100,7750,18100,
24100,250,100,8050,17500,
24100,250,100,8050,17500,
24100,250,100,8050,17500,
25300,250,100,7450,16900,
25900,250,100,7450,16300,
25300,250,100,8050,16300,
25300,250,100,8050,16300,
25300,250,100,8050,16300,
25300,250,100,7450,16900,
25900,250,100,7450,16300,
25300,250,100,8050,16300,
25300,250,100,8050,16300,
25300,250,100,8050,16300,
24700,250,100,7450,17500,
25300,250,100,7450,16900,
24700,250,100,6850,18100,
24700,250,100,6850,18100,
24700,250,100,6850,18100,
24100,250,100,6250,19300,
23500,250,100,5650,20500,
22900,250,100,6250,20500,
22900,250,100,6250,20500,
22900,250,100,6250,20500,
22900,250,100,6850,19900,
22300,250,100,6850,20500,
21700,250,100,7450,20500,
21700,250,100,7450,20500,
21700,250,100,7450,20500,
21700,250,100,8050,19900,
22300,250,100,8050,19300,
23500,250,100,7450,18700,
23500,250,100,7450,18700,
23500,250,100,7450,18700,
23500,250,100,6850,19300,
24100,250,100,6850,18700,
23500,250,100,7450,18700,
23500,250,100,7450,18700,
23500,250,100,7450,18700,
23500,250,100,6850,19300,
24100,250,100,6850,18700,
23500,250,100,7450,18700,
23500,250,100,7450,18700,
23500,250,100,7450,18700,
22900,250,100,6850,19900,
23500,250,100,6850,19300,
22900,250,100,7450,19300,
22900,250,100,7450,19300,
22900,250,100,7450,19300,
22900,250,100,8050,18700,
23500,250,100,8050,18100,
24100,250,100,7450,18100,
24100,250,100,7450,18100,
24100,250,100,7450,18100,
24100,250,100,8050,17500,
23500,250,100,8050,18100,
22900,250,100,8650,18100,
22900,250,100,8650,18100,
22900,250,100,8650,18100,
22900,250,100,9250,17500,
23500,250,100,9250,16900,
22900,250,100,9850,16900,
22900,250,100,9850,16900,
22900,250,100,9850,16900,
22900,250,100,9250,17500,
22300,250,100,9250,18100,
21700,250,100,9850,18100,
21700,250,100,9850,18100,
21700,250,100,9850,18100,
21700,250,100,10450,17500,
21100,250,100,10450,18100,
21700,250,100,9850,18100,
21700,250,100,9850,18100,
21700,250,100,9850,18100,
21100,250,100,11050,17500,
21700,250,100,11050,16900,
21100,250,100,11650,16900,
21100,250,100,11650,16900,
21100,250,100,11650,16900,
21100,250,100,11050,17500,
20500,250,100,11050,18100,
19900,250,100,11650,18100,
19900,250,100,11650,18100,
19900,250,100,11650,18100,
19900,250,100,12250,17500,
19300,250,100,12250,18100,
18700,250,100,12850,18100,
18700,250,100,12850,18100,
18700,250,100,12850,18100,
18700,250,100,12250,18700,
18100,250,100,12250,19300,
17500,250,100,12850,19300,
17500,250,100,12850,19300,
17500,250,100,12850,19300,
17500,250,100,13450,18700,
18100,250,100,13450,18100,
17500,250,100,14050,18100,
17500,250,100,14050,18100,
17500,250,100,14050,18100,
17500,250,100,13450,18700,
18100,250,100,13450,18100,
18700,250,100,12850,18100,
18700,250,100,12850,18100,
18700,250,100,12850,18100,
18700,250,100,12850,18100,
19300,250,100,12850,17500,
19900,250,100,12250,17500,
19900,250,100,12250,17500,
19900,250,100,12250,17500,
19900,250,100,12850,16900,
19300,250,100,12850,17500,
18700,250,100,12250,18700,
18700,250,100,12250,18700,
18700,250,100,12250,18700,
18700,250,100,11650,19300,
18100,250,100,11650,19900,
18700,250,100,11050,19900,
18700,250,100,11050,19900,
18700,250,100,11050,19900,
18700,250,100,11650,19300,
19300,250,100,11650,18700,
19900,250,100,11050,18700,
19900,250,100,11050,18700,
19900,250,100,11050,18700,
19900,250,100,11650,18100,
20500,250,100,11650,17500,
21100,250,100,11050,17500,
21100,250,100,11050,17500,
21100,250,100,11050,17500,
21100,250,100,11650,16900,
21700,250,100,11650,16300,
22300,250,100,11050,16300,
22300,250,100,11050,16300,
22300,250,100,11050,16300,
22300,250,100,11650,15700,
22900,250,100,11650,15100,
23500,250,100,11050,15100,
23500,250,100,11050,15100,
23500,250,100,11050,15100,
24700,250,100,10450,14500,
24100,250,100,11650,13900,
23500,250,100,12250,13900,
23500,250,100,12250,13900,
23500,250,100,12250,13900,
23500,250,100,11650,14500,
22900,250,100,11650,15100,
24100,250,100,11050,14500,
24100,250,100,11050,14500,
24100,250,100,11050,14500,
24100,250,100,11650,13900,
23500,250,100,11050,15100,
22900,250,100,11650,15100,
22900,250,100,11650,15100,
22900,250,100,11650,15100,
22900,250,100,11050,15700,
22300,250,100,11050,16300,
21700,250,100,10450,17500,
21700,250,100,10450,17500,
21700,250,100,10450,17500,
21700,250,100,9850,18100,
22300,250,100,9850,17500,
22900,250,100,9250,17500,
22900,250,100,9250,17500,
22900,250,100,9250,17500,
22900,250,100,8650,18100,
23500,250,100,8650,17500,
24100,250,100,8050,17500,
24100,250,100,8050,17500,
24100,250,100,8050,17500,
24100,250,100,8650,16900,
23500,250,100,9850,16300,
22900,250,100,10450,16300,
22900,250,100,10450,16300,
22900,250,100,10450,16300,
22900,250,100,9850,16900,
23500,250,100,9850,16300,
23500,250,100,9850,16300,
23500,250,100,9850,16300,
23500,250,100,9850,16300,
23500,250,100,9250,16900,
22900,250,100,10450,16300,
22300,250,100,11650,15700,
22300,250,100,11650,15700,
22300,250,100,11650,15700,
22300,250,100,11050,16300,
21700,250,100,12250,15700,
22300,250,100,11650,15700,
22300,250,100,11650,15700,
22300,250,100,11650,15700,
22300,250,100,11050,16300,
21700,250,100,12250,15700,
22300,250,100,11650,15700,
22300,250,100,11650,15700,
22300,250,100,11650,15700,
22300,250,100,11050,16300,
21700,250,100,11050,16900,
21100,250,100,11650,16900,
21100,250,100,11650,16900,
21100,250,100,11650,16900,
21100,250,100,11050,17500,
21700,250,100,11050,16900,
21100,250,100,11650,16900,
21100,250,100,11650,16900,
21100,250,100,11650,16900,
21100,250,100,12250,16300,
21700,250,100,12250,15700,
22300,250,100,11650,15700,
22300,250,100,11650,15700,
22300,250,100,11650,15700,
23500,250,100,11050,15100,
24100,250,100,11050,14500,
24700,250,100,10450,14500,
24700,250,100,10450,14500,
24700,250,100,10450,14500,
24700,250,100,9850,15100,
24100,250,100,9850,15700,
24100,250,100,9850,15700,
24100,250,100,9850,15700,
24100,250,100,9850,15700,
24100,250,100,10450,15100,
24700,250,100,10450,14500,
25300,250,100,9850,14500,
25300,250,100,9850,14500,
25300,250,100,9850,14500,
25300,250,100,9250,15100,
25900,250,100,9250,14500,
25300,250,100,10450,13900,
25300,250,100,10450,13900,
25300,250,100,10450,13900,
25300,250,100,9850,14500,
25900,250,100,9850,13900,
25300,250,100,10450,13900,
25300,250,100,10450,13900,
25300,250,100,10450,13900,
25300,250,100,9850,14500,
24700,250,100,11050,13900,
24100,250,100,10450,15100,
24100,250,100,10450,15100,
24100,250,100,10450,15100,
24100,250,100,9850,15700,
23500,250,100,11050,15100,
24100,250,100,10450,15100,
24100,250,100,10450,15100,
24100,250,100,10450,15100,
24100,250,100,11050,14500,
23500,250,100,12250,13900,
24700,250,100,11650,13300,
24700,250,100,11650,13300,
24700,250,100,11650,13300,
24700,250,100,12250,12700,
24100,250,100,11650,13900,
23500,250,100,12250,13900,
23500,250,100,12250,13900,
23500,250,100,12250,13900,
23500,250,100,11650,14500,
22900,250,100,12850,13900,
22300,250,100,14050,13300,
22300,250,100,14050,13300,
22300,250,100,14050,13300,
22300,250,100,14650,12700,
21700,250,100,14650,13300,
22300,250,100,14050,13300,
22300,250,100,14050,13300,
22300,250,100,14050,13300,
22300,250,100,13450,13900,
22900,250,100,13450,13300,
22300,250,100,14050,13300,
22300,250,100,14050,13300,
22300,250,100,14050,13300,
22300,250,100,13450,13900,
21700,250,100,14650,13300,
21700,250,100,14650,13300,
21700,250,100,14650,13300,
21700,250,100,14650,13300,
21700,250,100,15250,12700,
22300,250,100,15250,12100,
21700,250,100,14650,13300,
21700,250,100,14650,13300,
21700,250,100,14650,13300,
21700,250,100,15250,12700,
22300,250,100,15250,12100,
21700,250,100,15850,12100,
21700,250,100,15850,12100,
21700,250,100,15850,12100,
21700,250,100,15250,12700,
22300,250,100,15250,12100,
22300,250,100,15250,12100,
22300,250,100,15250,12100,
22300,250,100,15250,12100,
22300,250,100,15850,11500,
21700,250,100,15850,12100,
21100,250,100,15250,13300,
21100,250,100,15250,13300,
21100,250,100,15250,13300,
21100,250,100,14650,13900,
20500,250,100,14650,14500,
21100,250,100,14050,14500,
21100,250,100,14050,14500,
21100,250,100,14050,14500,
21100,250,100,13450,15100,
21700,250,100,13450,14500,
22300,250,100,12850,14500,
22300,250,100,12850,14500,
22300,250,100,12850,14500,
22300,250,100,13450,13900,
21700,250,100,12850,15100,
21100,250,100,13450,15100,
21100,250,100,13450,15100,
21100,250,100,13450,15100,
21100,250,100,14050,14500,
20500,250,100,13450,15700,
19900,250,100,14050,15700,
19900,250,100,14050,15700,
19900,250,100,14050,15700,
19300,250,100,13450,16900,
20500,250,100,12850,16300,
19900,250,100,13450,16300,
19900,250,100,13450,16300,
19900,250,100,13450,16300,
19900,250,100,14050,15700,
19300,250,100,13450,16900,
18700,250,100,14050,16900,
18700,250,100,14050,16900,
18700,250,100,14050,16900,
18700,250,100,14650,16300,
18100,250,100,14650,16900,
18700,250,100,14050,16900,
18700,250,100,14050,16900,
18700,250,100,14050,16900,
18700,250,100,13450,17500,
18100,250,100,13450,18100,
17500,250,100,14050,18100,
17500,250,100,14050,18100,
17500,250,100,14050,18100,
18700,250,100,13450,17500,
18100,250,100,13450,18100,
17500,250,100,12850,19300,
17500,250,100,12850,19300,
17500,250,100,12850,19300,
16900,250,100,12250,20500,
16300,250,100,12250,21100,
15700,250,100,12850,21100,
15700,250,100,12850,21100,
15700,250,100,12850,21100,
15700,250,100,12250,21700,
15100,250,100,13450,21100,
14500,250,100,14050,21100,
14500,250,100,14050,21100,
14500,250,100,14050,21100,
14500,250,100,13450,21700,
13900,250,100,13450,22300,
14500,250,100,12850,22300,
14500,250,100,12850,22300,
14500,250,100,12850,22300,
14500,250,100,13450,21700,
15100,250,100,13450,21100,
14500,250,100,14050,21100,
14500,250,100,14050,21100,
14500,250,100,14050,21100,
15700,250,100,13450,20500,
15100,250,100,14650,19900,
14500,250,100,14050,21100,
14500,250,100,14050,21100,
14500,250,100,14050,21100,
14500,250,100,14650,20500,
14500,250,100,14650,20500,
15100,250,100,14050,20500,
15100,250,100,14050,20500,
15100,250,100,14050,20500,
15100,250,100,14650,19900,
14500,250,100,14650,20500,
13900,250,100,15250,20500,
13900,250,100,15250,20500,
13900,250,100,15250,20500,
13900,250,100,15850,19900,
13300,250,100,17050,19300,
12700,250,100,18250,18700,
12700,250,100,18250,18700,
12700,250,100,18250,18700,
12700,250,100,17650,19300,
12100,250,100,18850,18700,
11500,250,100,19450,18700,
11500,250,100,19450,18700,
11500,250,100,19450,18700,
12700,250,100,18850,18100,
12100,250,100,18850,18700,
12700,250,100,18250,18700,
12700,250,100,18250,18700,
12700,250,100,18250,18700,
12700,250,100,17650,19300,
12100,250,100,17650,19900,
12700,250,100,17050,19900,
12700,250,100,17050,19900,
12700,250,100,17050,19900,
12700,250,100,16450,20500,
13300,250,100,16450,19900,
13900,250,100,15850,19900,
13900,250,100,15850,19900,
13900,250,100,15850,19900,
13900,250,100,16450,19300,
13300,250,100,16450,19900,
12700,250,100,17050,19900,
12700,250,100,17050,19900,
12700,250,100,17050,19900,
12700,250,100,17650,19300,
12100,250,100,17650,19900,
11500,250,100,18850,19300,
11500,250,100,18850,19300,
11500,250,100,18850,19300,
11500,250,100,18250,19900,
12100,250,100,18250,19300,
12700,250,100,17650,19300,
12700,250,100,17650,19300,
12700,250,100,17650,19300,
12700,250,100,18250,18700,
12100,250,100,18250,19300,
12700,250,100,17650,19300,
12700,250,100,17650,19300,
12700,250,100,17650,19300,
12700,250,100,17050,19900,
12100,250,100,17050,20500,
11500,250,100,17650,20500,
11500,250,100,17650,20500,
11500,250,100,17650,20500,
12700,250,100,17050,19900,
13900,250,100,16450,19300,
13300,250,100,17650,18700,
13300,250,100,17650,18700,
13300,250,100,17650,18700,
13300,250,100,17050,19300,
14500,250,100,16450,18700,
13900,250,100,17050,18700,
13900,250,100,17050,18700,
13900,250,100,17050,18700,
13900,250,100,16450,19300,
14500,250,100,16450,18700,
13900,250,100,17650,18100,
13900,250,100,17650,18100,
13900,250,100,17650,18100,
13900,250,100,18250,17500,
14500,250,100,18250,16900,
13900,250,100,18850,16900,
13900,250,100,18850,16900,
13900,250,100,18850,16900,
13900,250,100,19450,16300,
13300,250,100,19450,16900,
13300,250,100,19450,16900,
13300,250,100,19450,16900,
13300,250,100,19450,16900,
13300,250,100,18850,17500,
12700,250,100,18850,18100,
12100,250,100,19450,18100,
12100,250,100,19450,18100,
12100,250,100,19450,18100,
12100,250,100,20050,17500,
11500,250,100,20050,18100,
12100,250,100,19450,18100,
12100,250,100,19450,18100,
12100,250,100,19450,18100,
13300,250,100,18850,17500,
13900,250,100,18850,16900,
13300,250,100,19450,16900,
13300,250,100,19450,16900,
13300,250,100,19450,16900,
13300,250,100,20050,16300,
13900,250,100,20050,15700,
13300,250,100,20650,15700,
13300,250,100,20650,15700,
13300,250,100,20650,15700,
