EXPECTATION,EXPECTATION,SIMPLE_RANGE_EXP_IMP,EXACT_RANGE,EXACT_RANGE
23200,200,26400,100,100
23200,200,26400,100,100
23500,200,26100,100,100
23500,200,26100,100,100
23500,200,26100,100,100
23200,200,26400,100,100
23200,200,26400,100,100
23500,200,26100,100,100
23500,200,26100,100,100
23500,200,26100,100,100
23200,200,26400,100,100
23200,200,26400,100,100
23500,200,26100,100,100
23500,200,26100,100,100
23500,200,26100,100,100
23200,200,26400,100,100
23200,200,26400,100,100
23500,200,26100,100,100
23500,200,26100,100,100
23500,200,26100,100,100
23200,200,26400,100,100
23200,200,26400,100,100
22000,200,27600,100,100
22000,200,27600,100,100
22000,200,27600,100,100
21700,200,27900,100,100
21700,200,27900,100,100
22000,200,27600,100,100
22000,200,27600,100,100
22000,200,27600,100,100
21700,200,27900,100,100
21700,200,27900,100,100
23200,200,26400,100,100
23200,200,26400,100,100
23200,200,26400,100,100
22900,200,26700,100,100
22900,200,26700,100,100
23200,200,26400,100,100
23200,200,26400,100,100
23200,200,26400,100,100
22000,200,27600,100,100
22000,200,27600,100,100
22300,200,27300,100,100
22300,200,27300,100,100
22300,200,27300,100,100
22000,200,27600,100,100
22000,200,27600,100,100
21400,200,28200,100,100
21400,200,28200,100,100
21400,200,28200,100,100
21100,200,28500,100,100
21100,200,28500,100,100
21400,200,28200,100,100
21400,200,28200,100,100
21400,200,28200,100,100
20500,200,29100,100,100
20500,200,29100,100,100
20800,200,28800,100,100
20800,200,28800,100,100
20800,200,28800,100,100
20500,200,29100,100,100
20500,200,29100,100,100
20800,200,28800,100,100
20800,200,28800,100,100
20800,200,28800,100,100
20500,200,29100,100,100
20500,200,29100,100,100
20800,200,28800,100,100
20800,200,28800,100,100
20800,200,28800,100,100
20500,200,29100,100,100
20500,200,29100,100,100
20800,200,28800,100,100
20800,200,28800,100,100
20800,200,28800,100,100
20500,200,29100,100,100
20500,200,29100,100,100
19900,200,29700,100,100
19900,200,29700,100,100
19900,200,29700,100,100
19600,200,30000,100,100
19600,200,30000,100,100
19000,200,30600,100,100
19000,200,30600,100,100
19000,200,30600,100,100
18700,200,30900,100,100
18700,200,30900,100,100
19000,200,30600,100,100
19000,200,30600,100,100
19000,200,30600,100,100
18700,200,30900,100,100
18700,200,30900,100,100
18100,200,31500,100,100
18100,200,31500,100,100
18100,200,31500,100,100
17800,200,31800,100,100
17800,200,31800,100,100
18100,200,31500,100,100
18100,200,31500,100,100
18100,200,31500,100,100
17800,200,31800,100,100
17800,200,31800,100,100
18100,200,31500,100,100
18100,200,31500,100,100
18100,200,31500,100,100
17800,200,31800,100,100
17800,200,31800,100,100
18100,200,31500,100,100
18100,200,31500,100,100
18100,200,31500,100,100
17800,200,31800,100,100
17800,200,31800,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16000,200,33600,100,100
16000,200,33600,100,100
16300,200,33300,100,100
16300,200,33300,100,100
16300,200,33300,100,100
16000,200,33600,100,100
16000,200,33600,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15100,200,34500,100,100
15100,200,34500,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15100,200,34500,100,100
15100,200,34500,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15100,200,34500,100,100
15100,200,34500,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15100,200,34500,100,100
15100,200,34500,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15400,200,34200,100,100
16300,200,33300,100,100
16300,200,33300,100,100
17800,200,31800,100,100
17800,200,31800,100,100
17800,200,31800,100,100
17500,200,32100,100,100
17500,200,32100,100,100
17800,200,31800,100,100
17800,200,31800,100,100
17800,200,31800,100,100
17500,200,32100,100,100
17500,200,32100,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
15100,200,34500,100,100
15100,200,34500,100,100
15100,200,34500,100,100
14800,200,34800,100,100
14800,200,34800,100,100
15100,200,34500,100,100
15100,200,34500,100,100
15100,200,34500,100,100
14500,200,35100,100,100
14500,200,35100,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14500,200,35100,100,100
14500,200,35100,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14500,200,35100,100,100
14500,200,35100,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14200,200,35400,100,100
14200,200,35400,100,100
13000,200,36600,100,100
13000,200,36600,100,100
13000,200,36600,100,100
12700,200,36900,100,100
12700,200,36900,100,100
13000,200,36600,100,100
13000,200,36600,100,100
13000,200,36600,100,100
13600,200,36000,100,100
13600,200,36000,100,100
13900,200,35700,100,100
13900,200,35700,100,100
13900,200,35700,100,100
13600,200,36000,100,100
13600,200,36000,100,100
13900,200,35700,100,100
13900,200,35700,100,100
13900,200,35700,100,100
13600,200,36000,100,100
13600,200,36000,100,100
13000,200,36600,100,100
13000,200,36600,100,100
13000,200,36600,100,100
14500,200,35100,100,100
14500,200,35100,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14500,200,35100,100,100
14500,200,35100,100,100
16000,200,33600,100,100
16000,200,33600,100,100
16000,200,33600,100,100
15700,200,33900,100,100
15700,200,33900,100,100
16000,200,33600,100,100
16000,200,33600,100,100
16000,200,33600,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
14500,200,35100,100,100
14500,200,35100,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14500,200,35100,100,100
14500,200,35100,100,100
16000,200,33600,100,100
16000,200,33600,100,100
16000,200,33600,100,100
15700,200,33900,100,100
15700,200,33900,100,100
17200,200,32400,100,100
17200,200,32400,100,100
17200,200,32400,100,100
16900,200,32700,100,100
16900,200,32700,100,100
17200,200,32400,100,100
17200,200,32400,100,100
17200,200,32400,100,100
16900,200,32700,100,100
16900,200,32700,100,100
17200,200,32400,100,100
17200,200,32400,100,100
17200,200,32400,100,100
18400,200,31200,100,100
18400,200,31200,100,100
18700,200,30900,100,100
18700,200,30900,100,100
18700,200,30900,100,100
18400,200,31200,100,100
18400,200,31200,100,100
18700,200,30900,100,100
18700,200,30900,100,100
18700,200,30900,100,100
18400,200,31200,100,100
18400,200,31200,100,100
18700,200,30900,100,100
18700,200,30900,100,100
18700,200,30900,100,100
18100,200,31500,100,100
18100,200,31500,100,100
17500,200,32100,100,100
17500,200,32100,100,100
17500,200,32100,100,100
17200,200,32400,100,100
17200,200,32400,100,100
17500,200,32100,100,100
17500,200,32100,100,100
17500,200,32100,100,100
17200,200,32400,100,100
17200,200,32400,100,100
17500,200,32100,100,100
17500,200,32100,100,100
17500,200,32100,100,100
17200,200,32400,100,100
17200,200,32400,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
16300,200,33300,100,100
16300,200,33300,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16900,200,32700,100,100
16300,200,33300,100,100
16300,200,33300,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16600,200,33000,100,100
16300,200,33300,100,100
16300,200,33300,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14500,200,35100,100,100
14500,200,35100,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14800,200,34800,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14800,200,34800,100,100
15400,200,34200,100,100
15400,200,34200,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
16300,200,33300,100,100
16300,200,33300,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15700,200,33900,100,100
15400,200,34200,100,100
15400,200,34200,100,100
14800,200,34800,100,100
14800,200,34800,100,100
14800,200,34800,100,100
13600,200,36000,100,100
13600,200,36000,100,100
13000,200,36600,100,100
13000,200,36600,100,100
13000,200,36600,100,100
12700,200,36900,100,100
12700,200,36900,100,100
12100,200,37500,100,100
12100,200,37500,100,100
12100,200,37500,100,100
11800,200,37800,100,100
11800,200,37800,100,100
12100,200,37500,100,100
12100,200,37500,100,100
12100,200,37500,100,100
11800,200,37800,100,100
11800,200,37800,100,100
12100,200,37500,100,100
12100,200,37500,100,100
12100,200,37500,100,100
11800,200,37800,100,100
11800,200,37800,100,100
12100,200,37500,100,100
12100,200,37500,100,100
12100,200,37500,100,100
12700,200,36900,100,100
12700,200,36900,100,100
13000,200,36600,100,100
13000,200,36600,100,100
13000,200,36600,100,100
12700,200,36900,100,100
12700,200,36900,100,100
13000,200,36600,100,100
13000,200,36600,100,100
13000,200,36600,100,100
12700,200,36900,100,100
12700,200,36900,100,100
13000,200,36600,100,100
13000,200,36600,100,100
13000,200,36600,100,100
12700,200,36900,100,100
12700,200,36900,100,100
13000,200,36600,100,100
13000,200,36600,100,100
13000,200,36600,100,100
12700,200,36900,100,100
12700,200,36900,100,100
12100,200,37500,100,100
12100,200,37500,100,100
12100,200,37500,100,100
11500,200,38100,100,100
11500,200,38100,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10600,200,39000,100,100
10600,200,39000,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10600,200,39000,100,100
10600,200,39000,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10900,200,38700,100,100
9700,200,39900,100,100
9700,200,39900,100,100
10000,200,39600,100,100
10000,200,39600,100,100
10000,200,39600,100,100
9700,200,39900,100,100
9700,200,39900,100,100
10000,200,39600,100,100
10000,200,39600,100,100
10000,200,39600,100,100
9700,200,39900,100,100
9700,200,39900,100,100
10000,200,39600,100,100
10000,200,39600,100,100
10000,200,39600,100,100
10600,200,39000,100,100
10600,200,39000,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10600,200,39000,100,100
10600,200,39000,100,100
10000,200,39600,100,100
10000,200,39600,100,100
10000,200,39600,100,100
9700,200,39900,100,100
9700,200,39900,100,100
10000,200,39600,100,100
10000,200,39600,100,100
10000,200,39600,100,100
10600,200,39000,100,100
10600,200,39000,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10600,200,39000,100,100
10600,200,39000,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10600,200,39000,100,100
10600,200,39000,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10600,200,39000,100,100
10600,200,39000,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10600,200,39000,100,100
10600,200,39000,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10600,200,39000,100,100
10600,200,39000,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10900,200,38700,100,100
10600,200,39000,100,100
10600,200,39000,100,100
9700,200,39900,100,100
9700,200,39900,100,100
9700,200,39900,100,100
9400,200,40200,100,100
9400,200,40200,100,100
8500,200,41100,100,100
8500,200,41100,100,100
8500,200,41100,100,100
8200,200,41400,100,100
8200,200,41400,100,100
8500,200,41100,100,100
8500,200,41100,100,100
8500,200,41100,100,100
8200,200,41400,100,100
8200,200,41400,100,100
7600,200,42000,100,100
7600,200,42000,100,100
7600,200,42000,100,100
7300,200,42300,100,100
7300,200,42300,100,100
7600,200,42000,100,100
7600,200,42000,100,100
7600,200,42000,100,100
9100,200,40500,100,100
9100,200,40500,100,100
7900,200,41700,100,100
7900,200,41700,100,100
7900,200,41700,100,100
8800,200,40800,100,100
8800,200,40800,100,100
9100,200,40500,100,100
9100,200,40500,100,100
9100,200,40500,100,100
8800,200,40800,100,100
8800,200,40800,100,100
9100,200,40500,100,100
9100,200,40500,100,100
9100,200,40500,100,100
8800,200,40800,100,100
8800,200,40800,100,100
9100,200,40500,100,100
9100,200,40500,100,100
9100,200,40500,100,100
8800,200,40800,100,100
8800,200,40800,100,100
9100,200,40500,100,100
9100,200,40500,100,100
9100,200,40500,100,100
8800,200,40800,100,100
8800,200,40800,100,100
10300,200,39300,100,100
10300,200,39300,100,100
10300,200,39300,100,100
10000,200,39600,100,100
10000,200,39600,100,100
10300,200,39300,100,100
10300,200,39300,100,100
10300,200,39300,100,100
10000,200,39600,100,100
10000,200,39600,100,100
8800,200,40800,100,100
8800,200,40800,100,100
8800,200,40800,100,100
9700,200,39900,100,100
9700,200,39900,100,100
10000,200,39600,100,100
10000,200,39600,100,100
10000,200,39600,100,100
9700,200,39900,100,100
9700,200,39900,100,100
9100,200,40500,100,100
9100,200,40500,100,100
9100,200,40500,100,100
8800,200,40800,100,100
8800,200,40800,100,100
9100,200,40500,100,100
9100,200,40500,100,100
9100,200,40500,100,100
8800,200,40800,100,100
8800,200,40800,100,100
9100,200,40500,100,100
9100,200,40500,100,100
9100,200,40500,100,100
8500,200,41100,100,100
8500,200,41100,100,100
7900,200,41700,100,100
7900,200,41700,100,100
7900,200,41700,100,100
7600,200,42000,100,100
7600,200,42000,100,100
7900,200,41700,100,100
7900,200,41700,100,100
7900,200,41700,100,100
7600,200,42000,100,100
7600,200,42000,100,100
7000,200,42600,100,100
7000,200,42600,100,100
7000,200,42600,100,100
6400,200,43200,100,100
6400,200,43200,100,100
6700,200,42900,100,100
6700,200,42900,100,100
6700,200,42900,100,100
6100,200,43500,100,100
6100,200,43500,100,100
6400,200,43200,100,100
6400,200,43200,100,100
6400,200,43200,100,100
6100,200,43500,100,100
6100,200,43500,100,100
6400,200,43200,100,100
6400,200,43200,100,100
6400,200,43200,100,100
6100,200,43500,100,100
6100,200,43500,100,100
6400,200,43200,100,100
6400,200,43200,100,100
6400,200,43200,100,100
6100,200,43500,100,100
6100,200,43500,100,100
4600,200,45000,100,100
4600,200,45000,100,100
4600,200,45000,100,100
4300,200,45300,100,100
4300,200,45300,100,100
4600,200,45000,100,100
4600,200,45000,100,100
4600,200,45000,100,100
4300,200,45300,100,100
4300,200,45300,100,100
4600,200,45000,100,100
4600,200,45000,100,100
4600,200,45000,100,100
4300,200,45300,100,100
4300,200,45300,100,100
4600,200,45000,100,100
4600,200,45000,100,100
4600,200,45000,100,100
4300,200,45300,100,100
4300,200,45300,100,100
4600,200,45000,100,100
4600,200,45000,100,100
4600,200,45000,100,100
4300,200,45300,100,100
4300,200,45300,100,100
3700,200,45900,100,100
3700,200,45900,100,100
3700,200,45900,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3700,200,45900,100,100
3700,200,45900,100,100
3700,200,45900,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3700,200,45900,100,100
3700,200,45900,100,100
3700,200,45900,100,100
3100,200,46500,100,100
3100,200,46500,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3400,200,46200,100,100
4000,200,45600,100,100
4000,200,45600,100,100
4300,200,45300,100,100
4300,200,45300,100,100
4300,200,45300,100,100
4000,200,45600,100,100
4000,200,45600,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3100,200,46500,100,100
3100,200,46500,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3100,200,46500,100,100
3100,200,46500,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3100,200,46500,100,100
3100,200,46500,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3100,200,46500,100,100
3100,200,46500,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3100,200,46500,100,100
3100,200,46500,100,100
3400,200,46200,100,100
3400,200,46200,100,100
3400,200,46200,100,100
2500,200,47100,100,100
2500,200,47100,100,100
1000,200,48600,100,100
1000,200,48600,100,100
1000,200,48600,100,100
700,200,48900,100,100
700,200,48900,100,100
100,200,49500,100,100
